gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
189,α,α⁵,0,α⁶,α⁶,0,α³,0,0
190,1,1,0,1,α⁶,0,α³,0,0
191,1,α³,0,α,1,0,α³,0,0
192,α⁴,α⁴,0,α²,1,0,α³,0,0
193,α³,α⁵,0,α³,1,0,α³,0,0
194,α,α⁶,0,α⁴,1,0,α³,0,0
195,α²,α,0,α⁶,1,0,α³,0,0
196,α⁵,α²,0,1,1,0,α³,0,0
197,α⁴,α⁶,0,α⁴,α,0,α⁴,0,0
198,α³,α²,0,1,α,0,α⁴,0,0
199,α⁵,α²,0,α²,α²,0,α⁴,0,0
200,α,α⁶,0,α³,α²,0,α⁴,0,0
201,α³,α⁵,0,α⁴,α²,0,α⁴,0,0
202,α⁴,α⁴,0,1,α²,0,α⁴,0,0
203,1,α⁶,0,α,α³,0,α⁴,0,0
204,α³,1,0,α³,α³,0,α⁴,0,0
205,α,α³,0,α⁴,α³,0,α⁴,0,0
206,α⁵,α,0,1,α³,0,α⁴,0,0
207,α²,α³,0,α²,α⁴,0,α⁴,0,0
208,α,α²,0,α⁵,α⁴,0,α⁴,0,0
209,α⁶,1,0,1,α⁴,0,α⁴,0,0
210,α²,α⁴,0,α⁴,α⁵,0,α⁴,0,0
211,α,1,0,α⁶,α⁵,0,α⁴,0,0
212,1,α⁵,0,1,α⁵,0,α⁴,0,0
213,α²,α⁵,0,α,α⁶,0,α⁴,0,0
214,α³,α,0,α²,α⁶,0,α⁴,0,0
215,α⁴,α³,0,α³,α⁶,0,α⁴,0,0
216,α⁵,1,0,α⁴,α⁶,0,α⁴,0,0
217,α⁶,α⁶,0,α⁵,α⁶,0,α⁴,0,0
218,1,α⁴,0,α⁶,α⁶,0,α⁴,0,0
219,1,α²,0,α⁴,1,0,α⁴,0,0
220,α⁵,α³,0,α⁶,1,0,α⁴,0,0
221,α²,α⁶,0,1,1,0,α⁴,0,0
222,α²,α²,0,α²,α,0,α⁵,0,0
223,1,α⁶,0,α³,α,0,α⁵,0,0
224,α⁶,α⁶,0,α⁴,α²,0,α⁵,0,0
225,α⁴,α⁶,0,α⁵,α³,0,α⁵,0,0
226,α⁶,α²,0,α,α⁴,0,α⁵,0,0
227,α,1,0,α²,α⁴,0,α⁵,0,0
228,α⁴,α,0,α⁴,α⁴,0,α⁵,0,0
229,α²,α⁴,0,α⁵,α⁴,0,α⁵,0,0
230,1,α,0,α,α⁵,0,α⁵,0,0
231,α⁴,α⁵,0,α²,α⁵,0,α⁵,0,0
232,α³,α⁴,0,α³,α⁵,0,α⁵,0,0
233,α,α²,0,α⁴,α⁵,0,α⁵,0,0
234,α²,α³,0,α⁶,α⁵,0,α⁵,0,0
235,α,α⁶,0,α,α⁶,0,α⁵,0,0
236,α³,α⁵,0,α⁵,α⁶,0,α⁵,0,0
237,α⁵,α²,0,α⁶,α⁶,0,α⁵,0,0
238,α²,α,0,1,α⁶,0,α⁵,0,0
239,α⁴,α²,0,α³,1,0,α⁵,0,0
240,α⁵,α⁴,0,α⁴,1,0,α⁵,0,0
241,α⁶,α,0,α⁵,1,0,α⁵,0,0
242,1,1,0,α⁶,1,0,α⁵,0,0
243,α,α⁵,0,1,1,0,α⁵,0,0
244,α⁴,α³,0,α²,α,0,1,0,0
245,α³,α,0,α³,α,0,1,0,0
246,α²,α⁵,0,α⁶,α,0,1,0,0
247,α⁵,1,0,1,α,0,1,0,0
248,α²,α²,0,α,α²,0,1,0,0
249,α⁵,α,0,α⁴,α²,0,1,0,0
250,α⁶,α⁴,0,α⁵,α²,0,1,0,0
251,1,α⁶,0,α⁶,α²,0,1,0,0
252,α,α⁶,0,α²,α³,0,1,0,0
253,α⁵,α³,0,α,α⁴,0,1,0,0
254,α⁶,α⁵,0,α³,α⁴,0,1,0,0
255,α⁴,1,0,α⁵,α⁴,0,1,0,0
256,α,α,0,α⁶,α⁴,0,1,0,0
257,1,α²,0,1,α⁴,0,1,0,0
258,α³,α⁶,0,α,α⁵,0,1,0,0
259,1,1,0,α³,α⁵,0,1,0,0
260,α,α⁵,0,α⁵,α⁵,0,1,0,0
261,α⁴,α²,0,α⁶,α⁵,0,1,0,0
262,α⁶,α,0,1,α⁵,0,1,0,0
263,α⁵,α⁵,0,α²,α⁶,0,1,0,0
264,α,α⁴,0,α³,α⁶,0,1,0,0
265,α³,α²,0,α⁴,α⁶,0,1,0,0
266,α⁶,α³,0,α⁶,α⁶,0,1,0,0
267,α⁴,α⁶,0,1,α⁶,0,1,0,0
268,α⁴,α⁵,0,α,1,0,1,0,0
269,α²,α³,0,α³,1,0,1,0,0
270,α⁶,1,0,α⁴,1,0,1,0,0
271,α⁵,α⁶,0,α⁵,1,0,1,0,0
272,α³,α⁴,0,α⁶,1,0,1,0,0
273,α,α,0,α,α,0,0,α,0
274,α⁶,α⁵,0,α²,α,0,0,α,0
275,1,α²,0,α⁴,α,0,0,α,0
276,α⁵,α³,0,α⁶,α,0,0,α,0
277,α²,α⁶,0,1,α,0,0,α,0
278,α⁶,α²,0,α³,α²,0,0,α,0
279,α²,α⁴,0,α⁴,α²,0,0,α,0
280,α⁴,α,0,α⁵,α²,0,0,α,0
281,α,1,0,α⁶,α²,0,0,α,0
282,1,α⁵,0,1,α²,0,0,α,0
283,α⁴,α²,0,α,α³,0,0,α,0
284,1,1,0,α²,α³,0,0,α,0
285,α⁶,α,0,α⁴,α³,0,0,α,0
286,α³,α⁶,0,α⁶,α³,0,0,α,0
287,α²,α⁵,0,α,α⁴,0,0,α,0
288,α³,α,0,α²,α⁴,0,0,α,0
289,α⁴,α³,0,α³,α⁴,0,0,α,0
290,α⁵,1,0,α⁴,α⁴,0,0,α,0
291,α⁶,α⁶,0,α⁵,α⁴,0,0,α,0
292,1,α⁴,0,α⁶,α⁴,0,0,α,0
293,α⁵,α²,0,α²,α⁵,0,0,α,0
294,α,α⁶,0,α³,α⁵,0,0,α,0
295,α³,α⁵,0,α⁴,α⁵,0,0,α,0
296,1,α³,0,α⁵,α⁵,0,0,α,0
297,α⁴,α⁴,0,1,α⁵,0,0,α,0
298,α³,α⁴,0,α,α⁶,0,0,α,0
299,α²,α³,0,α²,α⁶,0,0,α,0
300,1,α,0,α³,α⁶,0,0,α,0
301,α,α²,0,α⁵,α⁶,0,0,α,0
302,α⁴,α⁵,0,α⁶,α⁶,0,0,α,0
303,α⁶,1,0,1,α⁶,0,0,α,0
