gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
282,0,α⁴,α⁶,α³,α,0,0,0,0
283,0,α,α⁷,α³,α,0,0,0,0
284,0,1,α,α⁴,α,0,0,0,0
285,0,α³,α²,α⁴,α,0,0,0,0
286,0,α,α³,α⁴,α,0,0,0,0
287,0,α⁶,α⁴,α⁴,α,0,0,0,0
288,0,α⁵,α⁵,α⁴,α,0,0,0,0
289,0,α²,α,α⁵,α,0,0,0,0
290,0,1,α²,α⁵,α,0,0,0,0
291,0,α⁵,α³,α⁵,α,0,0,0,0
292,0,α⁷,α²,α⁶,α,0,0,0,0
293,0,1,α³,α⁶,α,0,0,0,0
294,0,α,α⁴,α⁶,α,0,0,0,0
295,0,α²,α⁵,α⁶,α,0,0,0,0
296,0,α³,α⁶,α⁶,α,0,0,0,0
297,0,α⁴,α⁷,α⁶,α,0,0,0,0
298,0,α,α,α⁷,α,0,0,0,0
299,0,α⁶,α³,α⁷,α,0,0,0,0
300,0,α⁷,α,1,α,0,0,0,0
301,0,α⁴,α²,1,α,0,0,0,0
302,0,α³,α³,1,α,0,0,0,0
303,0,1,α⁵,1,α,0,0,0,0
304,0,α²,α⁶,1,α,0,0,0,0
305,0,α,1,1,α,0,0,0,0
306,0,α²,α,α,α²,0,0,0,0
307,0,α⁵,α³,α,α²,0,0,0,0
308,0,α⁴,α⁴,α,α²,0,0,0,0
309,0,α,α⁶,α,α²,0,0,0,0
310,0,α³,α⁷,α,α²,0,0,0,0
311,0,α⁵,α²,α²,α²,0,0,0,0
312,0,α³,α⁴,α²,α²,0,0,0,0
313,0,α⁶,α⁵,α²,α²,0,0,0,0
314,0,α⁴,α⁶,α²,α²,0,0,0,0
315,0,α,α⁷,α²,α²,0,0,0,0
316,0,1,1,α²,α²,0,0,0,0
317,0,α⁷,α,α³,α²,0,0,0,0
318,0,α⁴,α²,α³,α²,0,0,0,0
319,0,α³,α³,α³,α²,0,0,0,0
320,0,1,α⁵,α³,α²,0,0,0,0
321,0,α²,α⁶,α³,α²,0,0,0,0
322,0,α⁶,α⁷,α³,α²,0,0,0,0
323,0,α,1,α³,α²,0,0,0,0
324,0,α,α,α⁴,α²,0,0,0,0
325,0,α⁶,α³,α⁴,α²,0,0,0,0
326,0,1,α⁴,α⁴,α²,0,0,0,0
327,0,α⁴,α⁵,α⁴,α²,0,0,0,0
328,0,α⁷,α⁶,α⁴,α²,0,0,0,0
329,0,α⁵,α⁷,α⁴,α²,0,0,0,0
330,0,α²,1,α⁴,α²,0,0,0,0
331,0,α⁵,α,α⁵,α²,0,0,0,0
332,0,α,α²,α⁵,α²,0,0,0,0
333,0,α⁴,α³,α⁵,α²,0,0,0,0
334,0,α²,α⁴,α⁵,α²,0,0,0,0
335,0,α⁷,α⁵,α⁵,α²,0,0,0,0
336,0,1,α,α⁶,α²,0,0,0,0
337,0,α³,α²,α⁶,α²,0,0,0,0
338,0,α,α³,α⁶,α²,0,0,0,0
339,0,α²,α⁷,α⁶,α²,0,0,0,0
340,0,α⁴,1,α⁶,α²,0,0,0,0
341,0,α⁶,α,α⁷,α²,0,0,0,0
342,0,1,α³,α⁷,α²,0,0,0,0
343,0,α²,α⁵,α⁷,α²,0,0,0,0
344,0,α⁴,α⁷,α⁷,α²,0,0,0,0
345,0,α³,α,1,α²,0,0,0,0
346,0,α²,α²,1,α²,0,0,0,0
347,0,α⁷,α⁴,1,α²,0,0,0,0
348,0,α,α⁵,1,α²,0,0,0,0
349,0,α⁴,α²,α,α³,0,0,0,0
350,0,α³,α³,α,α³,0,0,0,0
351,0,1,α⁵,α,α³,0,0,0,0
352,0,α²,α⁶,α,α³,0,0,0,0
353,0,α⁶,α⁷,α,α³,0,0,0,0
354,0,α,1,α,α³,0,0,0,0
355,0,1,α,α²,α³,0,0,0,0
356,0,α³,α²,α²,α³,0,0,0,0
357,0,α,α³,α²,α³,0,0,0,0
358,0,α⁶,α⁴,α²,α³,0,0,0,0
359,0,α⁵,α⁵,α²,α³,0,0,0,0
360,0,α²,α⁷,α²,α³,0,0,0,0
361,0,α⁴,1,α²,α³,0,0,0,0
362,0,α,α,α³,α³,0,0,0,0
363,0,α⁶,α³,α³,α³,0,0,0,0
364,0,1,α⁴,α³,α³,0,0,0,0
