gene,block1,block2,block3,block4,block5
725,5,14,3,10,2
726,6,14,3,11,3
727,7,14,3,12,4
728,8,14,3,13,5
729,9,14,3,14,6
730,10,14,3,15,7
731,11,14,3,0,8
732,12,14,3,1,9
733,13,14,3,2,10
734,14,14,3,3,11
735,15,14,3,4,12
736,0,14,3,5,13
737,1,15,3,5,14
738,2,15,3,6,15
739,3,15,3,7,0
740,4,15,3,8,1
741,5,15,3,9,2
742,6,15,3,10,3
743,7,15,3,11,4
744,8,15,3,12,5
745,9,15,3,13,6
746,10,15,3,14,7
747,11,15,3,15,8
748,12,15,3,0,9
749,13,15,3,1,10
750,14,15,3,2,11
751,15,15,3,3,12
752,0,15,3,4,13
753,1,0,3,4,14
754,2,0,3,5,15
755,3,0,3,6,0
756,4,0,3,7,1
757,5,0,3,8,2
758,6,0,3,9,3
759,7,0,3,10,4
760,8,0,3,11,5
761,9,0,3,12,6
762,10,0,3,13,7
763,11,0,3,14,8
764,12,0,3,15,9
765,13,0,3,0,10
766,14,0,3,1,11
767,15,0,3,2,12
768,0,0,3,3,13
769,1,1,4,4,13
770,2,1,4,5,14
771,3,1,4,6,15
772,4,1,4,7,0
773,5,1,4,8,1
774,6,1,4,9,2
775,7,1,4,10,3
776,8,1,4,11,4
777,9,1,4,12,5
778,10,1,4,13,6
779,11,1,4,14,7
780,12,1,4,15,8
781,13,1,4,0,9
782,14,1,4,1,10
783,15,1,4,2,11
784,0,1,4,3,12
785,1,2,4,3,13
786,2,2,4,4,14
787,3,2,4,5,15
788,4,2,4,6,0
789,5,2,4,7,1
790,6,2,4,8,2
791,7,2,4,9,3
792,8,2,4,10,4
793,9,2,4,11,5
794,10,2,4,12,6
795,11,2,4,13,7
796,12,2,4,14,8
797,13,2,4,15,9
798,14,2,4,0,10
799,15,2,4,1,11
800,0,2,4,2,12
801,1,3,4,2,13
802,2,3,4,3,14
803,3,3,4,4,15
804,4,3,4,5,0
805,5,3,4,6,1
806,6,3,4,7,2
807,7,3,4,8,3
808,8,3,4,9,4
809,9,3,4,10,5
810,10,3,4,11,6
811,11,3,4,12,7
812,12,3,4,13,8
813,13,3,4,14,9
814,14,3,4,15,10
815,15,3,4,0,11
816,0,3,4,1,12
817,1,4,4,1,13
818,2,4,4,2,14
819,3,4,4,3,15
820,4,4,4,4,0
821,5,4,4,5,1
822,6,4,4,6,2
823,7,4,4,7,3
824,8,4,4,8,4
825,9,4,4,9,5
826,10,4,4,10,6
827,11,4,4,11,7
828,12,4,4,12,8
829,13,4,4,13,9
830,14,4,4,14,10
831,15,4,4,15,11
832,0,4,4,0,12
833,1,5,4,0,13
834,2,5,4,1,14
835,3,5,4,2,15
836,4,5,4,3,0
837,5,5,4,4,1
838,6,5,4,5,2
839,7,5,4,6,3
840,8,5,4,7,4
841,9,5,4,8,5
842,10,5,4,9,6
843,11,5,4,10,7
844,12,5,4,11,8
845,13,5,4,12,9
846,14,5,4,13,10
847,15,5,4,14,11
848,0,5,4,15,12
849,1,6,4,15,13
850,2,6,4,0,14
851,3,6,4,1,15
852,4,6,4,2,0
853,5,6,4,3,1
854,6,6,4,4,2
855,7,6,4,5,3
856,8,6,4,6,4
857,9,6,4,7,5
858,10,6,4,8,6
859,11,6,4,9,7
860,12,6,4,10,8
861,13,6,4,11,9
862,14,6,4,12,10
863,15,6,4,13,11
864,0,6,4,14,12
865,1,7,4,14,13
866,2,7,4,15,14
867,3,7,4,0,15
868,4,7,4,1,0
869,5,7,4,2,1
870,6,7,4,3,2
871,7,7,4,4,3
872,8,7,4,5,4
873,9,7,4,6,5
874,10,7,4,7,6
875,11,7,4,8,7
876,12,7,4,9,8
877,13,7,4,10,9
878,14,7,4,11,10
879,15,7,4,12,11
880,0,7,4,13,12
881,1,8,4,13,13
882,2,8,4,14,14
883,3,8,4,15,15
884,4,8,4,0,0
885,5,8,4,1,1
886,6,8,4,2,2
887,7,8,4,3,3
888,8,8,4,4,4
889,9,8,4,5,5
890,10,8,4,6,6
891,11,8,4,7,7
892,12,8,4,8,8
893,13,8,4,9,9
894,14,8,4,10,10
895,15,8,4,11,11
896,0,8,4,12,12
897,1,9,4,12,13
898,2,9,4,13,14
899,3,9,4,14,15
900,4,9,4,15,0
901,5,9,4,0,1
902,6,9,4,1,2
903,7,9,4,2,3
904,8,9,4,3,4
905,9,9,4,4,5
906,10,9,4,5,6
907,11,9,4,6,7
908,12,9,4,7,8
909,13,9,4,8,9
910,14,9,4,9,10
911,15,9,4,10,11
912,0,9,4,11,12
913,1,10,4,11,13
914,2,10,4,12,14
915,3,10,4,13,15
916,4,10,4,14,0
917,5,10,4,15,1
918,6,10,4,0,2
919,7,10,4,1,3
920,8,10,4,2,4
921,9,10,4,3,5
922,10,10,4,4,6
923,11,10,4,5,7
924,12,10,4,6,8
925,13,10,4,7,9
926,14,10,4,8,10
927,15,10,4,9,11
928,0,10,4,10,12
929,1,11,4,10,13
930,2,11,4,11,14
931,3,11,4,12,15
932,4,11,4,13,0
933,5,11,4,14,1
934,6,11,4,15,2
935,7,11,4,0,3
936,8,11,4,1,4
937,9,11,4,2,5
938,10,11,4,3,6
939,11,11,4,4,7
940,12,11,4,5,8
941,13,11,4,6,9
942,14,11,4,7,10
943,15,11,4,8,11
944,0,11,4,9,12
945,1,12,4,9,13
946,2,12,4,10,14
947,3,12,4,11,15
948,4,12,4,12,0
949,5,12,4,13,1
950,6,12,4,14,2
