block,pseudocolor,x,y,s,w
1,1,788.9753992,1228.386216,1.432512121,316.5006959
1,1,789.5035702,1171.85743,1.200301001,247.538387
1,1,789.57018,1318.026811,1.2,515.3306767
1,1,789.7222711,1326.886658,1.923276841,841.2564631
1,1,789.8549954,1087.235995,1.543880831,702.8772731
1,1,789.9123043,1175.968038,1.999895214,334.5771321
1,1,790.120551,1292.13888,1.816139963,913.0185618
1,1,790.3122886,1068.070148,1.216556662,740.1491037
1,1,790.4241478,1078.188996,1.562764116,201.2044922
1,1,790.4492048,1121.642283,1.568896135,736.382915
1,1,790.553,1341.390143,1.738181563,594.8256261
1,1,790.6857784,1255.057486,1.998548295,782.2473577
1,1,791.5255555,1287.117806,1.701764056,270.054202
1,1,791.6235208,1134.999929,2,213.4719907
1,1,791.7823191,1169.779728,1.202034125,391.0075792
1,1,791.9756055,1299.784829,1.699897099,951.7944878
1,1,792.1702885,1309.570841,1.201470452,452.9626967
1,1,792.5181605,1357.548865,1.999831266,499.0897105
1,1,792.663754,1390.333554,1.349901822,736.0240877
1,1,792.715789,1126.773267,1.202187409,326.3560631
1,1,792.9864007,1149.552114,1.394446495,1478.098373
1,1,793.1349108,1157.896289,1.49358812,215.0561262
1,1,793.2839604,1423.972047,1.412132509,309.4373323
1,1,793.6202446,1313.355419,1.230599601,711.001572
1,1,793.8238352,1218.473451,1.999563177,547.3198157
1,1,793.8411778,1363.96224,1.620727261,428.3048493
1,1,794.0547864,1168.33745,1.997001362,1540.531768
1,1,794.0630209,1232.488828,1.766868169,368.6435659
1,1,794.1113603,1186.932441,1.491915172,1211.034805
1,1,794.3473284,1264.987337,1.298568317,866.4294946
1,1,794.3997342,1193.71087,1.995922471,1103.3395
1,1,794.4490913,1203.022924,1.998787432,439.3977713
1,1,794.6528126,1328.468375,1.200775077,582.3773598
1,1,794.7342138,1247.236177,1.497912765,957.4548772
1,1,795.1502635,1323.104302,1.999452353,951.3670601
1,1,795.1521249,1274.892631,1.999594271,426.1471092
1,1,795.189977,1164.483783,1.2,269.9879928
1,1,795.4051675,1207.853418,1.426435252,323.664068
1,1,795.4279823,1189.188492,1.2,235.2298
1,1,795.9140306,1317.913397,1.2,498.8645376
1,1,796.3126388,1191.996276,2,319.6686969
1,1,796.3142388,1352.896966,1.999990283,378.3977587
1,1,796.3254954,1218.659946,1.2,423.5689015
1,1,796.3400855,1202.049999,1.2,498.016597
1,1,796.4791208,1129.4619,1.396518568,678.8437437
1,1,796.6741473,1167.615003,1.212244048,1513.779947
1,1,796.7986631,1300.439977,1.229282074,1151.511189
1,1,796.8125128,1269.384537,1.995054756,1334.241968
1,1,796.8125502,1305.778571,1.2,272.6000546
1,1,796.835649,1308.511862,1.996630942,1342.758696
1,1,796.8905045,1290.070903,1.337289693,227.2762913
1,1,797.1818601,1259.06552,1.999660174,380.9020416
1,1,797.3188734,1374.144993,1.713255126,644.2208104
1,1,797.5600529,1303.906704,1.285855861,716.3914529
1,1,797.6471507,1109.816451,1.271313007,988.3949906
1,1,798.0400948,1251.344013,1.28519766,574.455649
1,1,798.1435262,1283.914008,1.494121518,190.0743622
1,1,798.1769799,1280.443436,1.999003081,598.3999314
1,1,798.2041372,1227.531444,2,793.9066581
1,1,798.644937,1141.577391,1.2,839.2671392
1,1,798.6607919,1270.338908,1.2,566.878998
1,1,798.6919748,999.3482123,1.31708606,1696.34719
1,1,798.7062789,1338.501031,1.999980955,995.8353054
1,1,798.7635788,1369.027365,1.200699784,394.350926
1,1,798.9975494,1198.390395,1.542046227,1622.779235
1,1,799.1208261,1239.715012,1.631045525,402.963261
1,1,799.288788,1315.704431,1.99727616,857.9435323
1,1,799.299462,1104.71609,1.201082142,1050.89435
1,1,799.3106442,1357.498045,2,281.0526785
1,1,799.3125502,1310.324294,1.2,416.893819
1,1,799.9653739,1296.698149,1.813681622,1518.854035
1,1,800.038319,1021.541747,1.426794652,1056.308548
1,1,800.1851259,1158.875672,1.693854802,551.3535525
1,1,800.2995731,1175.228954,1.296935894,332.234613
1,1,800.4473829,1168.61634,1.998055171,1166.878064
1,1,800.5550998,1215.036156,1.797093748,267.5920526
1,1,800.6242411,1321.505106,1.999331876,352.7587185
1,1,800.7410004,1122.089876,1.257366563,1152.867923
1,1,801.0820264,1137.441298,1.993923779,827.2474547
1,1,801.2530094,1316.084306,1.99444477,870.3296676
1,1,801.3120017,1057.89538,2,217.8429438
1,1,801.3349667,1180.137119,2,494.5360796
1,1,801.6807258,1260.062039,1.623909798,518.8650661
