gene,gene_number,cpath,cost,x,y
Rcc2,183,"[19716, 41900, 55142, 94214]",0.307546275,724.6725057,1375.631542
Mdh2,85,"[35908, 61468, 74604, 99188]",0.307765836,752.4194169,1267.15865
Oxct1,134,"[15189, 34749, 68523, 109336]",0.310049146,818.4489172,1357.760028
Vim,261,"[44063, 66991, 72566, 98058]",0.311183405,733.2973201,1302.72517
Vim,261,"[44482, 67445, 73027, 98482]",0.311286047,845.4512892,1011.600592
negative_control,622,"[4065, 69298, 76993, 109941]",0.312633062,1020.750036,1195.348855
Emp1,39,"[4369, 22235, 45176, 84006]",0.313247612,756.9928496,1266.146133
Csnk2b,23,"[49971, 75676, 84691, 91853]",0.313780173,1033.509062,1191.662216
Rpl18a,187,"[28073, 30857, 48307, 97203]",0.313827851,900.2799792,1309.366134
Fkbp8,45,"[13788, 59650, 97139, 110729]",0.315850939,886.3597727,1081.237116
Rpl15,186,"[49890, 55909, 101297, 108016]",0.317565469,1012.401798,1095.394341
Vim,261,"[44844, 67848, 73399, 98877]",0.319297974,1003.171369,1063.423834
Maged1,82,"[58129, 73609, 85624, 103318]",0.319612269,718.5410043,1396.003593
Maged1,82,"[58907, 74539, 86354, 104083]",0.320122741,1051.741167,1158.552691
Eif4g2,38,"[26223, 32921, 56111, 90172]",0.320448385,710.6044161,1406.435216
Ywhah,266,"[28000, 59612, 76443, 85220]",0.321700842,874.6680124,1344.911172
Ssr2,217,"[38336, 45990, 79872, 84663]",0.323753716,1023.870255,1206.207316
negative_control,956,"[13057, 38686, 70999, 89242]",0.324018746,786.7920452,1130.037822
Psmd2,163,"[2612, 35347, 55700, 110896]",0.324674544,932.9793939,1082.002417
Tapbp,224,"[3693, 27998, 100969, 111918]",0.324799494,873.3741259,1244.061337
Snx5,212,"[15677, 40233, 82554, 92981]",0.324998483,925.4738032,1229.009877
Ybx1,263,"[62461, 75908, 101684, 111505]",0.325072499,774.4285505,1394.307279
Lmna,77,"[23607, 76056, 86723, 108458]",0.326380322,800.8401333,1102.596585
Ckap4,14,"[17547, 36935, 46951, 102453]",0.327713978,977.6715395,1207.745407
Sdc4,202,"[28506, 34117, 47727, 55086]",0.327831532,1069.105932,1157.238391
Rpsa,197,"[1554, 17974, 96090, 104126]",0.328327786,720.9637612,1405.169573
Mmp14,87,"[11655, 47963, 76042, 91421]",0.330236556,798.9049227,1146.445667
Mdh2,85,"[36604, 61826, 75097, 99890]",0.33208878,893.129434,1040.570861
Arf1,6,"[29441, 60852, 86931, 98573]",0.333294497,878.0557437,1086.144506
St13,220,"[31965, 41904, 54545, 61416]",0.333692881,728.332244,1315.759661
Prpsap1,156,"[27852, 51537, 68625, 100848]",0.334947872,834.2303671,1229.426712
Ctbp1,24,"[26219, 60199, 78035, 89003]",0.335036824,698.8648895,1423.414657
Uba1,250,"[60138, 70600, 102729, 103273]",0.339022375,1037.100523,1173.104372
Myh9,118,"[38360, 41813, 72401, 108119]",0.339306718,1036.144051,1112.908232
Sfpq,206,"[31957, 54536, 74563, 86425]",0.34087986,719.4029118,1401.877681
Timp2,229,"[31684, 62993, 88044, 102282]",0.341987978,924.4789373,1284.484308
Vim,261,"[44150, 67080, 72666, 98157]",0.342266508,758.8341197,1333.043632
Arf1,6,"[28637, 60262, 86492, 98097]",0.342365116,744.2227129,1307.389182
Rrp1,198,"[16136, 40492, 58050, 79922]",0.342488361,1047.335954,1180.874947
Vim,261,"[44755, 67755, 73309, 98788]",0.345469344,976.0855689,1119.873383
Lmna,77,"[24318, 76883, 87153, 108943]",0.346644536,993.1996994,1031.786848
Vdac1,260,"[50238, 86510, 100522, 111417]",0.346674143,750.177392,1327.119674
Ptbp1,167,"[17729, 35710, 54450, 82838]",0.34702153,1014.318309,1199.669914
Ybx1,263,"[63363, 77029, 102714, 112360]",0.347736951,1033.117764,1138.41919
Nap1l1,120,"[39612, 52935, 65443, 83836]",0.348120445,1027.441908,1082.87973
Ran,178,"[33311, 43082, 79445, 100731]",0.349259406,806.5489105,1108.239809
Nr2f2,129,"[25729, 44778, 81538, 88171]",0.349668688,983.6028895,1115.760254
Malat1,83,"[12427, 17810, 47118, 66857]",0.351107738,1037.310319,1174.812259
Csnk2b,23,"[49653, 75628, 84486, 91666]",0.351959554,945.4293133,1047.597531
Vim,261,"[44459, 67421, 73007, 98464]",0.352239806,840.3371152,1110.588834
Rpsa,197,"[2447, 18972, 97174, 104705]",0.352382002,893.8884598,1041.976056
Sfpq,206,"[32183, 54709, 74783, 86722]",0.35342397,800.8184899,1078.352649
Ybx1,263,"[63422, 77061, 102773, 112384]",0.354096191,1050.779881,1112.67444
Raly,177,"[22060, 45029, 56069, 75694]",0.354131063,658.4365072,1458.921041
Eif3f,35,"[16182, 70630, 96040, 109986]",0.354662643,639.2704066,1479.760331
Ywhag,265,"[4163, 27390, 47167, 79160]",0.355257436,1101.387249,1109.337701
Sfpq,206,"[32228, 54727, 74821, 86750]",0.356082118,809.1511021,1379.995595
St13,220,"[32096, 42037, 54655, 61569]",0.357711232,782.2833917,1123.419869
Arf1,6,"[28521, 60193, 86370, 97966]",0.358750962,637.6625234,1483.420819
Snrnp70,210,"[53015, 72658, 94813, 111437]",0.358762874,757.2864987,1255.642258
Psap,160,"[26588, 64892, 74867, 109342]",0.360278932,819.8303996,1122.748201
Vat1,259,"[20650, 37937, 89709, 104739]",0.360361381,908.3736609,1101.279247
Spp1,214,"[1056, 49641, 54258, 65195]",0.360619307,940.3400203,1134.279304
Mdh2,85,"[37085, 62095, 75449, 100402]",0.363050465,1031.095624,1079.474221
Vim,261,"[44234, 67164, 72761, 98228]",0.363380781,781.1949256,1135.345812
Xdh,262,"[43058, 68441, 80125, 99474]",0.363581065,803.5740054,1343.236213
Aebp1,4,"[2103, 29141, 43191, 83249]",0.363754494,823.823938,1275.764897
Hdgf,56,"[25977, 46016, 64388, 108097]",0.36592744,1031.856817,1067.506339
Prrc2a,158,"[11115, 46001, 61313, 90057]",0.367046656,1026.018849,1097.495856
Rab7,174,"[4745, 16680, 33336, 42152]",0.36718429,812.3129408,1054.275308
Stip1,221,"[15860, 31757, 74358, 103896]",0.36760967,971.5088973,1062.447433
Rpl18a,187,"[27964, 30760, 48205, 97026]",0.368050587,860.6635306,1258.534369
Vim,261,"[44495, 67457, 73041, 98499]",0.368326103,848.9493149,1358.537853
Mtch1,115,"[13575, 40072, 85175, 98491]",0.369041597,847.6492997,995.5952434
Lmna,77,"[23519, 75985, 86657, 108405]",0.370655207,788.3682818,1093.848215
Ybx1,263,"[63050, 76696, 102355, 112118]",0.370883403,951.148121,1264.453971
Csnk2b,23,"[48731, 75488, 83916, 91179]",0.372216841,712.1344197,1400.796252
Hnrnpk,59,"[9780, 28672, 46195, 79272]",0.372693503,753.2726855,1395.734501
Rpl15,186,"[49601, 55679, 101056, 107706]",0.372750188,918.159379,1074.34106
Hspa8,62,"[22092, 56106, 93500, 110005]",0.37378202,708.2181766,1402.222138
Actn4,3,"[11629, 23549, 58358, 61620]",0.374377824,794.1532333,1146.958782
Grina,53,"[53013, 74614, 81862, 92110]",0.374965921,756.511325,1247.132828
Vim,261,"[44357, 67307, 72894, 98348]",0.375272357,809.6044978,1138.167559
Xdh,262,"[43904, 69295, 80692, 100369]",0.375555914,1019.919474,1088.497768
Jun,70,"[23358, 64581, 83961, 106964]",0.376426688,743.4461862,1356.437158
Hdgf,56,"[24524, 45038, 63554, 106819]",0.376475171,687.1915114,1410.831894
Ube2m,252,"[5759, 25972, 80703, 94133]",0.379012954,1031.143964,1110.013749
Vim,261,"[44241, 67168, 72767, 98233]",0.379671658,782.0547907,1247.960627
Clta,15,"[47731, 55090, 69401, 109976]",0.380123989,1082.152635,1138.683926
Ncl,121,"[14792, 28683, 99197, 107019]",0.3801573,754.5546699,966.1812023
Zfp36l1,269,"[964, 17268, 51829, 71830]",0.380907352,918.4141857,1261.070197
Tapbp,224,"[3694, 27997, 100968, 111917]",0.381068364,873.2150255,1111.048622
Tpm4,239,"[1460, 16170, 88986, 97958]",0.381090054,1093.562037,1140.378806
Fbln2,42,"[2474, 20607, 86965, 107658]",0.381597836,899.3030101,1112.27554
Gpi1,52,"[18067, 57380, 69497, 96175]",0.381672744,751.858132,1280.032888
Mvd,116,"[485, 48041, 59381, 92499]",0.383526622,818.199646,1081.472364
Vim,261,"[44669, 67647, 73205, 98684]",0.383858776,939.3220464,1055.325081
Mdh2,85,"[35903, 61466, 74600, 99183]",0.384357642,751.5441462,1369.563822
Hdgf,56,"[26035, 46044, 64418, 108149]",0.384537391,1044.088765,1119.014742
Ywhah,266,"[28483, 60156, 77056, 85580]",0.384654596,1048.699396,1093.222174
Pkm,144,"[5735, 21163, 91039, 93415]",0.388028705,1024.96476,1206.304499
Mdh2,85,"[36897, 61939, 75304, 100176]",0.390914684,971.0446689,1092.265495
Lrrc59,79,"[38348, 77017, 85556, 112355]",0.393829856,1030.828225,1154.060504
Malat1,83,"[11583, 16501, 46301, 65741]",0.39560542,786.073726,1096.054634
