gene,gene_number,cpath,cost,x,y,z,cellid,cc,cc_size,pos,cell,lvf,zvf,wf,svf,dr
Cited2,13,"[20001, 33238, 72819, 96457]",3.7405595770529554,791.7406732653423,1064.7164653481252,0.0,1,2990,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20011, 37430, 89275, 104351]",3.267558867310722,791.8532222244994,999.0418117806071,0.0,1,2991,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1624,"[20025, 65783, 88554, 106213]",1.25738773963828,793.2677093121933,1169.1664258179467,0.0,1,2992,2,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20034, 37447, 89287, 104363]",3.244138040051909,794.2380196800605,1075.2441322884647,0.0,1,2993,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20049, 37466, 89296, 104377]",1.436403479268111,796.9217046903218,1222.5215144274043,0.0,1,2994,1,0,1,7.0,1.0,0.0,0.0,0
Top2a,236,"[20080, 43040, 81100, 110360]",0.5967388730988152,801.4183095740703,1079.002275112372,0.0,1,2995,1,0,1,7.0,1.0,0.0,0.0,0
Ppp2r1a,151,"[34614, 40947, 77354, 85848]",2.8102124329390623,804.5011574825415,1343.3428844919245,0.0,1,2996,3,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20104, 37510, 89335, 104411]",0.23512226997808433,803.8333128663529,1094.003246736468,0.0,1,2997,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20106, 37514, 89340, 104419]",3.171520219321873,804.4903046308872,1124.902445425295,0.0,1,2998,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,720,"[20130, 30548, 71178, 111664]",1.3378845177893977,807.7839941374924,1170.3488643717421,0.0,1,2999,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1637,"[20140, 58413, 68472, 84202]",2.089192118748361,809.6156123491419,1340.8404180304608,0.0,1,3000,2,0,1,7.0,1.0,0.0,0.0,0
Junb,71,"[20157, 33327, 50482, 105356]",1.4192419635835314,810.7748645268822,1188.8095412105458,0.0,1,3001,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20163, 37547, 89366, 104445]",2.767384652305167,810.4113558499832,1114.1853369495952,0.0,1,3002,3,0,1,7.0,1.0,0.0,0.0,0
Vim,261,"[44353, 67306, 72893, 98351]",3.3015248573829177,809.4957767135555,1113.711264987443,0.0,1,3002,3,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20166, 37555, 89376, 104453]",1.3581170184666436,811.4941347051144,1162.8940912578867,0.0,1,3003,1,0,1,7.0,1.0,0.0,0.0,0
Junb,71,"[20172, 33332, 50489, 105360]",0.5278307053845915,811.8091371189638,1128.5609314165736,0.0,1,3004,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20176, 37556, 89373, 104457]",3.7674874487252583,812.0292969950558,1219.8640447343357,0.0,1,3005,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20184, 37567, 89389, 104463]",1.7076109972624625,814.2752089961498,1264.2482129546656,0.0,1,3006,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20187, 37577, 89396, 104472]",3.836105382324318,815.4972972582432,1229.6730127755868,0.0,1,3007,1,0,1,7.0,1.0,0.0,0.0,0
Lrrc59,79,"[37641, 76228, 85121, 111756]",2.991589524737464,826.2051267990746,1304.6407373923412,0.0,1,3008,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,1891,"[20260, 36322, 42210, 68577]",2.2943034575672234,826.3436856457793,1320.8069864384063,0.0,1,3009,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20290, 37663, 89481, 104543]",1.1140746017330647,831.5838361983995,1106.886008843078,0.0,1,3010,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20300, 37678, 89487, 104557]",0.981343803646508,833.5025109335132,1250.623182619782,0.0,1,3011,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20355, 37722, 89534, 104594]",3.3623633246967164,841.2192968409076,1310.5120245375933,0.0,1,3012,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20367, 37727, 89539, 104598]",0.5145717273110093,842.5569426406951,1124.4208655404352,0.0,1,3013,1,0,1,7.0,1.0,0.0,0.0,0
Lrrc59,79,"[37728, 76327, 85160, 111832]",1.7005927705396897,842.4618244896599,1380.1006270683956,0.0,1,3014,4,0,1,7.0,1.0,0.0,0.0,0
Vim,261,"[44479, 67439, 73021, 98481]",2.2693094455079548,844.5341405791759,1378.859200331758,0.0,1,3014,4,0,1,7.0,1.0,0.0,0.0,0
negative_control,1093,"[20406, 29298, 57682, 83345]",1.157141985068343,848.6347100708355,1310.1821332715851,0.0,1,3015,1,0,1,7.0,1.0,0.0,0.0,0
Zfp36l2,270,"[34993, 79557, 82322, 96993]",1.5989309350701137,856.252906349425,1346.032807902186,0.0,1,3016,3,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20473, 42308, 55585, 94446]",0.5131656717095148,862.0209083582872,1123.2206037511473,0.0,1,3017,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20475, 42304, 55584, 94439]",2.596563759704301,861.2531472469752,1342.7307247252108,0.0,1,3018,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20481, 37803, 89607, 104647]",0.2782076906244621,864.076160826095,1306.341250772309,0.0,1,3019,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20499, 37815, 89618, 104656]",1.9186732869142287,870.3706769859054,1321.1696598918834,0.0,1,3020,1,0,1,7.0,1.0,0.0,0.0,0
Idh3g,66,"[23953, 42322, 54051, 111911]",1.2211701144805789,871.3521612968369,1122.5480864792942,0.0,1,3021,2,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20514, 37831, 89627, 104665]",1.20684471907802,874.4655926416358,1128.2359952078573,0.0,1,3022,1,0,1,7.0,1.0,0.0,0.0,0
Tcp1,227,"[20516, 40134, 62896, 98564]",1.3553225754883882,874.7178056828029,1087.803295192757,0.0,1,3023,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20575, 37889, 89669, 104699]",1.213008466445301,892.0075962628564,1109.945797178337,0.0,1,3024,5,0,1,7.0,1.0,0.0,0.0,0
Ybx1,263,"[62929, 76498, 102203, 111960]",2.8489844804853024,892.1450813599361,1109.353675291838,0.0,1,3024,5,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20578, 37886, 89666, 104697]",0.9128967154102744,891.84686250553,1074.0979943325326,0.0,1,3025,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20582, 37891, 89668, 104698]",1.8783348636558836,892.3092547192539,1093.2270223702444,0.0,1,3026,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20598, 37900, 89684, 104713]",3.933205506939602,897.5172225878385,1292.7779537853917,0.0,1,3027,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20606, 37906, 89685, 104719]",2.298445047872029,899.0919510772981,1117.0951602031685,0.0,1,3028,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20622, 42399, 55665, 94474]",3.5155148872727917,902.8635970646143,1078.1764765407845,0.0,1,3029,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[20623, 33622, 73147, 97226]",1.8924009305390541,903.8122089614649,1098.5113988866196,0.0,1,3030,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20631, 37921, 89703, 104732]",2.270507506067976,904.2296230420343,1053.7901401449376,0.0,1,3031,1,0,1,7.0,1.0,0.0,0.0,0
Junb,71,"[20632, 33626, 50704, 105637]",2.0442788740336715,905.6504558400638,1080.4787585771192,0.0,1,3032,2,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20650, 37937, 89709, 104739]",0.3603613811503007,908.3736608534047,1101.2792472084075,0.0,1,3033,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1093,"[20660, 29597, 57800, 83531]",3.3562966722180563,910.3898423504288,1218.0118705852271,0.0,1,3034,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20701, 37972, 89744, 104761]",3.4624575657281738,921.2906211910134,1113.537336542327,0.0,1,3035,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20710, 37980, 89748, 104768]",3.232175977340338,922.8086251872963,1131.9541732052996,0.0,1,3036,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,310,"[20732, 40237, 54219, 108791]",2.456688769833017,928.5842800705359,1135.051253216314,0.0,1,3037,1,0,1,7.0,1.0,0.0,0.0,0
Ybx1,263,"[63002, 76623, 102292, 112057]",1.3439541492731726,930.6600118998447,1065.796322954182,0.0,1,3038,4,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20734, 42457, 55694, 94483]",2.194660510342789,929.91330167358,1067.0001111513093,0.0,1,3038,4,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20738, 38012, 89765, 104787]",3.3045120961292733,930.4225909210551,1111.829397253098,0.0,1,3039,1,0,1,7.0,1.0,0.0,0.0,0
Rbbp7,181,"[56880, 77750, 100052, 106486]",0.8008419359825996,939.0127583188674,1095.5122494727498,0.0,1,3040,2,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20781, 38037, 89787, 104804]",3.3411442426777183,939.1615292363329,1071.4383872303954,0.0,1,3041,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1226,"[20790, 38040, 64148, 78780]",2.687989675466178,941.0543601439505,1134.2719949340146,0.0,1,3042,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20803, 38058, 89798, 104814]",3.9440387557484637,944.8803933305954,1158.4440810955225,0.0,1,3043,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[20818, 33706, 73223, 97443]",0.8512288948364382,947.3774856580421,1052.7301403211861,0.0,1,3044,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20862, 38099, 89841, 104848]",0.5676539227816247,955.4440338783309,1054.3046256452856,0.0,1,3045,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20878, 42536, 55758, 94508]",2.437105295167087,958.3333429209184,1080.6032690363668,0.0,1,3046,4,0,1,7.0,1.0,0.0,0.0,0
Sfpq,206,"[32666, 54925, 75263, 87067]",3.8258965517939467,959.374626170905,1079.660849536189,0.0,1,3046,4,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[20886, 33751, 73254, 97505]",1.6394921945598289,959.921561476681,1256.5827610920169,0.0,1,3047,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[20889, 33754, 73256, 97520]",2.74770385748905,960.719678130698,1182.065259294147,0.0,1,3048,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20902, 38127, 89861, 104870]",2.510420831349035,963.8638101579097,1207.0203929965064,0.0,1,3049,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20907, 38129, 89863, 104874]",1.7533300018598108,964.4909137189654,1211.901507197516,0.0,1,3050,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20912, 42558, 55777, 94517]",1.4765489173488975,965.9659905604127,1100.2463141176843,0.0,1,3051,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20924, 38141, 89877, 104886]",2.0685905376943934,968.0536816068507,1236.7358809924785,0.0,1,3052,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[20929, 42563, 55783, 94519]",0.44135931058333205,968.3446056528229,1065.3306754668129,0.0,1,3053,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1471,"[20940, 49734, 67744, 90896]",3.767561025103001,971.2476356650992,1086.635150243902,0.0,1,3054,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[20946, 33791, 73295, 97587]",1.4512147476101447,971.839498662241,1226.673573078585,0.0,1,3055,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20949, 38162, 89887, 104894]",0.9309135997020213,971.7014662025177,1084.073653296428,0.0,1,3056,1,0,1,7.0,1.0,0.0,0.0,0
Xdh,262,"[43770, 69131, 80582, 100199]",3.0577224340624265,977.1070658316361,1219.5116058005324,0.0,1,3057,2,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[20995, 38200, 89922, 104926]",1.1809080343678962,982.6927351417098,1047.8858983169853,0.0,1,3058,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[21003, 38210, 89927, 104932]",3.745111029576841,985.1129175901215,1080.2107681145544,0.0,1,3059,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21012, 42606, 55831, 94539]",2.7209634176627793,986.2546196327553,1058.9980044735091,0.0,1,3060,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21017, 42612, 55837, 94541]",2.285848841546269,988.1085630011556,1110.9964187370163,0.0,1,3061,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,310,"[21020, 40388, 54394, 108937]",3.412682944296942,988.53570786584,1114.4645376534922,0.0,1,3062,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21042, 42625, 55844, 94543]",1.9507762300950386,993.5916323720872,1113.422484600012,0.0,1,3063,1,0,1,7.0,1.0,0.0,0.0,0
Tcp1,227,"[21056, 40402, 63208, 98848]",1.7450200785331036,997.4520220743738,1216.843399050158,0.0,1,3064,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1634,"[21075, 52884, 89978, 97762]",3.3527051403644865,1002.0585390518874,1136.908403072127,0.0,1,3065,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21085, 42655, 55882, 94569]",2.985727305338063,1003.8800097099962,1120.0429670979017,0.0,1,3066,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[21091, 38281, 89995, 105000]",1.9185951416959315,1006.0921650225395,1165.9563611373821,0.0,1,3067,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[21094, 38290, 90001, 105003]",0.8883466246947446,1007.6728017582975,1039.3057297870255,0.0,1,3068,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[21095, 33927, 73422, 97782]",2.253428548328394,1007.4838343971746,1200.3538237373982,0.0,1,3069,1,0,1,7.0,1.0,0.0,0.0,0
Sfpq,206,"[32808, 55017, 75414, 87211]",1.4012641070146457,1010.2180005935552,1115.0884350815163,0.0,1,3070,5,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21101, 42666, 55902, 94583]",2.1074806477099464,1010.5547948051129,1115.2390106264845,0.0,1,3070,5,0,1,7.0,1.0,0.0,0.0,0
Snrnp70,210,"[53523, 73433, 95907, 112311]",2.900870681658898,1011.092866671564,1115.7021916164836,0.0,1,3070,5,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21122, 42671, 55912, 94591]",3.2143064254351934,1013.4088581120213,1175.0202311794517,0.0,1,3071,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1185,"[41759, 53538, 74500, 108060]",1.9604614029387795,1021.9263745121078,1151.3353572467402,0.0,1,3072,4,0,1,7.0,1.0,0.0,0.0,0
Junb,71,"[21142, 33995, 50951, 105937]",1.9740177329228707,1021.2918147133115,1152.1674239269496,0.0,1,3072,4,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[21143, 42686, 55930, 94604]",2.556064156082926,1021.4113865974467,1167.627335728597,0.0,1,3073,1,0,1,7.0,1.0,0.0,0.0,0
