Unnamed: 0,lvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,eff_truth,fdr_truth,fp,not_decoded_true,total_true_cnts,nbarcodes,nnonspec,ims,rep
0,6.0,0.0,0.0,0,9,1,8,0.0893163309044149,0.7,0.1111111111111111,1.0,3.0,10,10,30,_ims,3
0,8.0,0.0,0.0,0,9,1,8,0.0893163309044149,0.7,0.1111111111111111,1.0,3.0,10,10,30,_ims,3
0,6.0,0.0,0.0,0,6,0,6,0.0,0.6,0.0,0.0,4.0,10,10,40,_ims,3
0,8.0,0.0,0.0,0,5,0,5,0.0,0.5,0.0,0.0,5.0,10,10,40,_ims,3
0,6.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,50,_ims,3
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,50,_ims,3
0,6.0,0.0,0.0,0,14,0,14,0.0,0.65,0.0714285714285714,1.0,7.0,20,20,0,_ims,3
0,8.0,0.0,0.0,0,11,1,10,0.0714530647235319,0.5,0.0,0.0,10.0,20,20,0,_ims,3
0,6.0,0.0,0.0,0,14,0,14,0.0,0.7,0.0,0.0,6.0,20,20,10,_ims,3
0,8.0,0.0,0.0,0,13,0,13,0.0,0.65,0.0,0.0,7.0,20,20,10,_ims,3
0,6.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.55,0.0769230769230769,1.0,9.0,20,20,20,_ims,3
0,8.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.55,0.0769230769230769,1.0,9.0,20,20,20,_ims,3
0,6.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.55,0.0769230769230769,1.0,9.0,20,20,30,_ims,3
0,8.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.55,0.0769230769230769,1.0,9.0,20,20,30,_ims,3
0,6.0,0.0,0.0,0,16,0,16,0.0,0.65,0.1875,3.0,7.0,20,20,40,_ims,3
0,8.0,0.0,0.0,0,15,0,15,0.0,0.6,0.2,3.0,8.0,20,20,40,_ims,3
0,6.0,0.0,0.0,0,15,4,11,0.2598293262673888,0.4,0.2,3.0,12.0,20,20,50,_ims,3
0,8.0,0.0,0.0,0,14,2,12,0.1190884412058865,0.5,0.1428571428571428,2.0,10.0,20,20,50,_ims,3
0,6.0,0.0,0.0,0,23,5,18,0.1984807353431442,0.5666666666666667,0.0434782608695652,1.0,13.0,30,30,0,_ims,3
0,8.0,0.0,0.0,0,22,4,18,0.1587845882745154,0.5666666666666667,0.0454545454545454,1.0,13.0,30,30,0,_ims,3
0,6.0,0.0,0.0,0,21,5,16,0.2232908272610373,0.5,0.0476190476190476,1.0,15.0,30,30,10,_ims,3
0,8.0,0.0,0.0,0,20,5,15,0.2381768824117731,0.4666666666666667,0.05,1.0,16.0,30,30,10,_ims,3
0,6.0,0.0,0.0,0,20,7,13,0.3847472715882488,0.3333333333333333,0.15,3.0,20.0,30,30,20,_ims,3
0,8.0,0.0,0.0,0,18,5,13,0.274819479705892,0.3333333333333333,0.1666666666666666,3.0,20.0,30,30,20,_ims,3
0,6.0,0.0,0.0,0,20,2,18,0.0793922941372577,0.4,0.3,6.0,18.0,30,30,30,_ims,3
0,8.0,0.0,0.0,0,19,7,12,0.4168095442206029,0.2,0.3157894736842105,6.0,24.0,30,30,30,_ims,3
0,6.0,0.0,0.0,0,22,3,19,0.1128206285108398,0.5,0.1818181818181818,4.0,15.0,30,30,40,_ims,3
0,8.0,0.0,0.0,0,20,2,18,0.0793922941372577,0.4666666666666667,0.2,4.0,16.0,30,30,40,_ims,3
0,6.0,0.0,0.0,0,21,9,12,0.5358979854264895,0.3,0.1428571428571428,3.0,21.0,30,30,50,_ims,3
0,8.0,0.0,0.0,0,20,6,14,0.3062274202437082,0.4,0.1,2.0,18.0,30,30,50,_ims,3
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,0,_ims,4
0,8.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,0,_ims,4
0,6.0,0.0,0.0,0,9,0,9,0.0,0.9,0.0,0.0,1.0,10,10,10,_ims,4
0,8.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,10,_ims,4
0,6.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,20,_ims,4
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,20,_ims,4
0,6.0,0.0,0.0,0,7,1,6,0.1190884412058865,0.6,0.0,0.0,4.0,10,10,30,_ims,4
0,8.0,0.0,0.0,0,6,1,5,0.1429061294470638,0.5,0.0,0.0,5.0,10,10,30,_ims,4
0,6.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,40,_ims,4
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,40,_ims,4
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,50,_ims,4
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,50,_ims,4
0,6.0,0.0,0.0,0,15,3,12,0.1786326618088298,0.45,0.2,3.0,11.0,20,20,0,_ims,4
0,8.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.45,0.2307692307692307,3.0,11.0,20,20,0,_ims,4
0,6.0,0.0,0.0,0,15,2,13,0.1099277918823568,0.55,0.1333333333333333,2.0,9.0,20,20,10,_ims,4
0,8.0,0.0,0.0,0,15,1,14,0.0510379033739513,0.55,0.2,3.0,9.0,20,20,10,_ims,4
0,6.0,0.0,0.0,0,14,2,12,0.1190884412058865,0.55,0.0714285714285714,1.0,9.0,20,20,20,_ims,4
0,8.0,0.0,0.0,0,12,1,11,0.0649573315668472,0.5,0.0833333333333333,1.0,10.0,20,20,20,_ims,4
0,6.0,0.0,0.0,0,15,0,15,0.0,0.65,0.1333333333333333,2.0,7.0,20,20,30,_ims,4
0,8.0,0.0,0.0,0,15,0,15,0.0,0.65,0.1333333333333333,2.0,7.0,20,20,30,_ims,4
0,6.0,0.0,0.0,0,14,1,13,0.0549638959411784,0.6,0.0714285714285714,1.0,8.0,20,20,40,_ims,4
