gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
180,α³,α⁵,0,α⁶,0,α⁵,0,0,α⁶,0
181,1,α,α⁵,0,0,α⁶,0,0,α⁶,0
182,0,α²,α³,α⁵,0,1,0,0,α⁶,0
183,α,α²,α⁶,0,0,α⁷,0,0,α⁷,0
184,0,α⁴,α⁵,α⁷,0,α²,0,0,1,0
185,α⁴,0,α³,α⁴,0,α⁵,0,0,1,0
186,α²,α³,α⁷,0,0,1,0,0,1,0
187,α⁶,1,α⁵,0,0,α²,0,0,0,α
188,0,α⁵,α⁷,α³,0,1,0,0,0,α
189,0,α⁶,1,α⁴,0,α,0,0,0,α²
190,α⁷,α,α⁶,0,0,α³,0,0,0,α²
191,α⁶,0,α⁷,α²,0,α⁵,0,0,0,α²
192,0,α⁷,α,α⁵,0,α²,0,0,0,α³
193,1,α²,α⁷,0,0,α⁴,0,0,0,α³
194,α⁷,0,1,α³,0,α⁶,0,0,0,α³
195,0,1,α²,α⁶,0,α³,0,0,0,α⁴
196,α,α³,1,0,0,α⁵,0,0,0,α⁴
197,1,0,α,α⁴,0,α⁷,0,0,0,α⁴
198,α³,α⁶,0,α²,0,α³,0,0,0,α⁵
199,α²,α⁴,α,0,0,α⁶,0,0,0,α⁵
200,α,0,α²,α⁵,0,1,0,0,0,α⁵
201,α⁴,α⁷,0,α³,0,α⁴,0,0,0,α⁶
202,0,α²,α⁴,1,0,α⁵,0,0,0,α⁶
203,α³,0,α⁴,α⁷,0,α²,0,0,0,α⁷
204,α⁵,1,0,α⁴,0,α⁵,0,0,0,α⁷
205,0,α³,α⁵,α,0,α⁶,0,0,0,α⁷
206,α⁴,α⁶,α³,0,0,1,0,0,0,α⁷
207,α⁵,α⁷,α⁴,0,0,α,0,0,0,1
208,α⁶,α,0,α⁵,0,α⁶,0,0,0,1
209,0,α⁴,α⁶,α²,0,α⁷,0,0,0,1
210,α,α³,0,α⁶,0,0,α²,α,0,0
211,α⁷,1,α⁶,0,0,0,α⁵,α,0,0
212,0,α⁴,α⁷,α,0,0,α⁷,α,0,0
213,α³,0,α⁴,α⁵,0,0,1,α,0,0
214,α²,α⁴,0,α⁷,0,0,α³,α²,0,0
215,0,α⁵,1,α²,0,0,1,α²,0,0
216,0,α⁶,α,α³,0,0,α,α³,0,0
217,α⁵,0,α⁶,α⁷,0,0,α²,α³,0,0
218,α³,α⁵,0,1,0,0,α⁴,α³,0,0
219,α,α²,1,0,0,0,α⁷,α³,0,0
220,α⁶,0,α⁷,1,0,0,α³,α⁴,0,0
221,α²,α³,α,0,0,0,1,α⁴,0,0
222,0,1,α³,α⁵,0,0,α³,α⁵,0,0
223,α⁷,0,1,α,0,0,α⁴,α⁵,0,0
224,α⁵,α⁷,0,α²,0,0,α⁶,α⁵,0,0
225,α⁴,α⁵,α³,0,0,0,α²,α⁶,0,0
226,0,α,α⁴,α⁶,0,0,α⁴,α⁶,0,0
227,1,0,α,α²,0,0,α⁵,α⁶,0,0
228,α⁶,1,0,α³,0,0,α⁷,α⁶,0,0
229,α⁷,α,0,α⁴,0,0,1,α⁷,0,0
230,0,α³,α⁶,1,0,0,α⁶,1,0,0
231,α²,α⁵,0,α²,0,0,α²,0,α,0
232,α⁷,α,α²,0,0,0,α⁴,0,α,0
233,α³,α⁶,0,α³,0,0,α³,0,α²,0
234,1,α²,α³,0,0,0,α⁵,0,α²,0
235,α²,0,α⁷,α⁷,0,0,α⁶,0,α²,0
236,α⁴,α⁷,0,α⁴,0,0,α⁴,0,α³,0
237,α⁵,1,0,α⁵,0,0,α⁵,0,α⁴,0
238,α⁴,0,α,α,0,0,1,0,α⁴,0
239,α⁶,α,0,α⁶,0,0,α⁶,0,α⁵,0
240,α⁴,α⁶,α⁷,0,0,0,α,0,α⁶,0
241,α⁶,0,α³,α³,0,0,α²,0,α⁶,0
242,α⁷,α²,0,α⁷,0,0,α⁷,0,α⁶,0
243,0,α⁷,α⁵,α⁶,0,0,1,0,α⁶,0
244,0,1,α⁶,α⁷,0,0,α,0,α⁷,0
245,α⁷,0,α⁴,α⁴,0,0,α³,0,α⁷,0
