pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
9,8,2,1,1,7595,22698,0.049578773
9,10,2,1,1,15273,30675,0.073772647
9,12,2,1,1,11367,27123,0.062096014
9,13,2,1,1,14398,36965,0.057712122
9,14,2,1,1,16721,36617,0.06766048
10,6,2,1,1,9817,28953,0.050238979
10,7,2,1,1,4886,16187,0.04472421
10,8,2,1,1,9969,21630,0.068288986
10,9,2,1,1,8634,20976,0.060988079
10,11,2,1,1,7716,20383,0.056089259
10,15,2,1,1,9496,22861,0.061546175
10,16,2,1,1,7429,14315,0.076894379
11,3,2,1,1,9629,17668,0.080751274
11,4,2,1,1,8193,14575,0.083289447
11,5,2,1,1,9726,19539,0.073754329
11,6,2,1,1,13088,32338,0.059967468
11,12,2,1,1,13324,41785,0.047246518
11,13,2,1,1,13878,27239,0.075490327
12,2,2,1,1,4229,15072,0.041574055
12,3,2,1,1,4516,16065,0.041651322
12,4,2,1,1,7523,17337,0.064294333
12,6,2,1,1,4603,16637,0.040994118
12,7,2,1,1,8326,23402,0.052715583
12,12,2,1,1,8214,22282,0.054620556
12,13,2,1,1,4930,13864,0.052688272
12,14,2,1,1,3824,12296,0.046079697
12,15,2,1,1,8525,26895,0.046965443
12,16,2,1,1,9237,44620,0.03067305
13,9,2,1,1,10815,32728,0.048962394
13,10,2,1,1,12019,19003,0.093713412
13,11,2,1,1,10775,28317,0.056380072
14,4,2,1,1,11673,26074,0.066333118
14,6,2,1,1,15851,40111,0.058552948
14,7,2,1,1,3509,6644,0.078254502
14,9,2,1,1,7606,14346,0.078556311
14,10,2,1,1,6026,12786,0.069831282
14,11,2,1,1,16841,32995,0.075626731
14,12,2,1,1,16177,35163,0.068165975
14,13,2,1,1,16479,54868,0.044500748
14,14,2,1,1,11068,23851,0.068757194
15,3,2,1,1,5298,11865,0.066160655
15,7,2,1,1,7080,12162,0.086254914
15,8,2,1,1,5546,10407,0.078960501
15,9,2,1,1,8526,15859,0.079657214
15,10,2,1,1,10563,16753,0.09342224
15,11,2,1,1,8902,18021,0.073192114
15,16,2,1,1,8014,14760,0.080448614
15,17,2,1,1,7965,16880,0.069914768
16,2,2,1,1,9351,20174,0.06867863
16,3,2,1,1,7698,19308,0.059073976
16,5,2,1,1,7054,16176,0.064612999
