,gene,gene_number,x,y
8749,negative_control,657,1611.349027718632,1418.9897817870476
8750,negative_control,653,1619.681857885615,1507.9714799559938
8751,Mrpl37,99,1627.9560701090595,1532.5944146889717
8752,Hnrnpul1,60,1631.051800059752,1526.6160238862874
8753,Hnrnpul1,60,1647.3429116603988,1463.328954005398
8754,negative_control,1589,1710.9397217044425,1475.4149663837422
8755,Mrpl37,99,1724.000979200379,1554.3216071531897
8756,Mrpl37,99,1727.9579553071171,1388.2228668957512
8757,Mrpl37,99,1748.1077663460742,1386.402388828135
8758,Hnrnpul1,60,1749.2463141228932,1359.239386700414
8759,Hnrnpul1,60,1757.8195541658902,1563.76523405016
8760,Hnrnpul1,60,1757.954195220335,1358.204558321318
8761,Hnrnpul1,60,1762.5307000043008,1556.8527979807232
8762,Hnrnpul1,60,1779.605834697745,1591.0470039208271
8763,Hnrnpul1,60,1782.556452815586,1551.330949093336
8764,Hnrnpul1,60,1787.6834912029744,1466.2047222779624
8765,Rpl15,186,1799.7533366223809,1462.3941306410395
8766,Hnrnpul1,60,1801.302339891342,1474.2873698777776
8767,Hnrnpul1,60,1822.5149703852203,1461.2114356663503
8768,Hnrnpul1,60,1835.2104343497292,1484.46210299192
8769,negative_control,648,1836.1905979275468,1600.9258321319007
8770,Mrpl37,99,1899.815920819106,1572.0050190958036
8771,Hnrnpul1,60,1908.039939780184,1550.1211726539714
8772,Psmd4,164,1473.2442986079202,1504.6196255386285
8773,Sf3b2,205,1525.8905479495588,1430.4605307104707
8774,Sf3b2,205,1536.1112273048634,1518.961794510656
8775,Sf3b2,205,1554.447148080695,1383.2158049238667
8776,Sf3b2,205,1569.9284513652092,1380.9321008606662
8777,Mrpl17,95,1610.1410991290902,1448.0826867146895
8778,Psmd4,164,1623.0736107733603,1468.8705053723138
8779,Maged1,82,1636.9648856683273,1388.6244626004104
8780,Psmd4,164,1708.5649537955323,1513.0071567038306
8781,Psmd4,164,1719.4661109787478,1385.1890226683556
8782,Psmd4,164,1730.373057923231,1603.9972761827937
8783,Sf3b2,205,1741.0702132495778,1635.0254492255765
8784,Sf3b2,205,1765.1723284280552,1403.5050140586643
8785,Sf3b2,205,1770.694507300831,1646.0563357245192
8786,Mrpl17,95,1771.776457891954,1599.2505098854608
8787,Sf3b2,205,1783.493063723151,1359.1965953276945
8788,Psmd4,164,1782.6142101790028,1522.9699000948997
8789,Sf3b2,205,1792.0857391303216,1361.1476652208412
8790,Sf3b2,205,1798.6800545775538,1342.103088637078
8791,Sf3b2,205,1799.934900786671,1490.281351010556
8792,negative_control,1189,1801.8032161270148,1392.204115438843
8793,Mrpl17,95,1803.0456609333569,1372.2096331256132
8794,Sf3b2,205,1803.9357157103016,1651.5070654623894
8795,Sf3b2,205,1806.7071440090656,1521.027301054049
8796,Psmd4,164,1818.4518350380647,1356.986770831481
8797,Sf3b2,205,1820.5837294981527,1456.174405055996
8798,Sf3b2,205,1821.680735604695,1623.8298325961016
8799,Sf3b2,205,1824.9698501845985,1344.974164975666
8800,Psmd4,164,1835.1994697323596,1548.2669182097573
8801,Sf3b2,205,1834.974734773432,1336.864539128096
8802,negative_control,1192,1835.2257331205972,1462.7229943722944
8803,Psmd4,164,1873.6600077269525,1516.6719213707145
8804,Psmd4,164,1888.3540085255515,1644.7045843450874
8805,Psmd4,164,1913.6959930926296,1536.0355595960768
8806,negative_control,416,1504.9803535132282,1501.507007848858
8807,negative_control,431,1706.0776770002096,1588.5245261026398
8808,Plk2,147,1826.7398136804784,1520.646386500707
8809,negative_control,424,1847.998858842882,1503.6603839272886
8810,negative_control,421,1853.557793019117,1551.103091260405
8811,Xdh,262,1378.745055506184,1276.4233149162862
8812,Xdh,262,1518.540378401528,1514.990366179566
8813,Xdh,262,1536.8517604250453,1436.5409122086332
8814,negative_control,1347,1541.5990352011397,1416.644931995098
8815,Xdh,262,1548.9821779771191,1399.1026809122932
8816,Mrpl28,97,1568.5522290068034,1416.472994997681
8817,Xdh,262,1593.4634031713586,1449.8370657066582
8818,Xdh,262,1596.3394792479985,1461.46425002353
8819,Vim,261,1607.7428008847403,1541.129073059658
8820,negative_control,1350,1609.0428170516657,1409.5805528747958
8821,Xdh,262,1610.921696205071,1392.1601456180429
8822,Xdh,262,1626.8946705135622,1514.390496238214
8823,Xdh,262,1664.817458100356,1397.385888931256
8824,Xdh,262,1665.3592740521278,1574.926123827243
8825,Xdh,262,1685.5026726868068,1559.409173579511
8826,Xdh,262,1685.7907522299242,1392.2265410760986
8827,Xdh,262,1695.738253324242,1458.500539039575
8828,Mrpl28,97,1740.9957742901256,1507.363930688587
8829,Mrpl28,97,1746.0808454561138,1409.9328846177402
8830,Xdh,262,1761.088344819522,1384.2693068242231
8831,Xdh,262,1761.325114340857,1440.508738615866
8832,Mrpl28,97,1763.5600476560403,1402.1693605342914
8833,Xdh,262,1770.8426759446177,1462.611855038367
8834,Mrpl28,97,1775.0702331896575,1497.9077874835684
8835,Xdh,262,1781.6956580346762,1472.704212470739
8836,Xdh,262,1792.2740304215454,1678.625219076879
8837,Xdh,262,1799.3216612201825,1547.078382885408
8838,Xdh,262,1815.018509518268,1462.3545038297889
8839,Mrpl28,97,1815.3126357521112,1385.061309555224
8840,negative_control,1345,1818.903410707852,1469.8936037427238
8841,Mrpl28,97,1822.1271034921144,1358.9910522295895
8842,Xdh,262,1823.4496134978067,1497.338123605995
8843,negative_control,1353,1838.5872029561976,1448.799797059609
8844,Xdh,262,1849.711397208116,1563.5475718565472
8845,Xdh,262,1858.8844567161889,1500.2442478334658
8846,Xdh,262,1861.997614921789,1585.4903717892903
8847,Mrpl28,97,1864.470993863442,1596.9483093498488
8848,Xdh,262,1871.718101812858,1557.7023407364393
8849,Mrpl28,97,1893.941468339388,1537.0947794870217
8850,Mrpl28,97,1900.5812700463812,1526.5874052045604
8851,Mrpl28,97,1903.642126925532,1554.0755175143197
8852,Vim,261,1318.8161039844213,1238.503314367979
8853,Vim,261,1332.017983536266,1255.938100095456
8854,Vim,261,1356.1332096609133,1267.4210602885694
8855,Vim,261,1378.9861406953182,1275.6316718519686
8856,Vim,261,1385.382018306096,1282.54363624418
8857,Vim,261,1388.028812391521,1279.034979628725
8858,Vim,261,1392.5925299968703,1285.9327795496947
8859,Vim,261,1404.786961819622,1292.7446045675315
8860,Vim,261,1414.5786683554109,1310.377041163982
8861,Vim,261,1415.1867045957197,1306.2590004052734
8862,Vim,261,1450.4790145784032,1332.7014743854204
8863,Vim,261,1468.6713814490956,1352.3872290746515
8864,Vim,261,1477.659607418495,1500.3180913293213
8865,Vim,261,1489.3261772056417,1509.2105515500873
8866,Vim,261,1494.6967794474565,1505.687448897366
8867,Vim,261,1496.2429791735549,1493.9150950686442
8868,Vim,261,1497.384096905786,1513.7872956074564
8869,Vim,261,1499.236437982779,1497.5494112495678
8870,Vim,261,1500.1198729506527,1511.3703517653576
8871,Vim,261,1499.3956292329776,1373.206558100237
8872,Vim,261,1503.9909780205846,1509.5027356835706
8873,Vim,261,1504.0749664769533,1368.917447367487
8874,Vim,261,1508.4153986126078,1498.8478516670489
8875,Vim,261,1508.8494774617288,1366.0433948822306
8876,Vim,261,1510.0028927445178,1391.154982996059
8877,Vim,261,1510.9794907741366,1387.4642676809651
8878,Vim,261,1511.0261202476968,1370.6995871952524
8879,Vim,261,1511.6225899639262,1379.9346002128586
8880,Vim,261,1512.1876519849425,1529.9184322611409
8881,Vim,261,1512.819512054444,1384.9512166685645
8882,Fgf7,43,1516.1334960956217,1479.0058099003372
8883,Vim,261,1523.028002336915,1521.2259620915152
8884,Vim,261,1524.3862397682428,1485.6394836505494
8885,Vim,261,1525.597141557028,1398.6093517459062
8886,Vim,261,1526.207085946132,1459.1183391803052
8887,Vim,261,1525.3678398866484,1534.5189739448356
8888,Vim,261,1527.757479596269,1378.9790693076486
8889,Vim,261,1529.5880469540184,1407.839586044465
8890,Vim,261,1531.4899028873135,1415.0897845071922
8891,Vim,261,1531.616193205571,1400.0864475876992
8892,Vim,261,1532.8105162939942,1514.7755126021702
8893,Vim,261,1533.0654675928138,1384.8928994248429
8894,Vim,261,1536.5863792586365,1435.3598673089114
8895,Vim,261,1539.3161835725778,1377.5541584702648
8896,Vim,261,1538.9896848744454,1517.336209278135
8897,Vim,261,1541.9104842768647,1386.7350618172304
8898,Vim,261,1543.4283349001637,1436.054555614848
8899,Vim,261,1544.1217281186566,1395.9131024340302
8900,Vim,261,1543.7727516565342,1409.3777397593835
8901,Vim,261,1547.6428244218814,1520.5899543276869
8902,Vim,261,1551.99259425189,1525.4544672711004
8903,Vim,261,1553.6025928115137,1514.2941300946336
8904,Vim,261,1558.6114360544425,1376.8960612382025
8905,Vim,261,1558.8838968310197,1504.4020799209875
8906,Vim,261,1565.4270603381524,1511.9278016788412
8907,Vim,261,1567.8521999763584,1514.7586424276897
8908,Vim,261,1571.0626286896927,1417.422279767089
8909,Vim,261,1578.1962390687347,1419.9841173504612
8910,Vim,261,1582.0768305051631,1394.9642613900724
8911,Vim,261,1582.6903579387958,1389.2140883892546
8912,Vim,261,1587.1195036175077,1447.013492890968
8913,Vim,261,1589.852761457165,1393.128768173668
8914,Vim,261,1589.9627320625832,1545.5740519541878
8915,Vim,261,1598.6687010607045,1538.595180641414
8916,Vim,261,1600.7706291274303,1548.3622716855016
8917,Vim,261,1601.6964353903622,1542.729386980424
8918,Vim,261,1606.006232529363,1378.8863136876364
8919,Vim,261,1607.8129267321362,1523.5257458307824
8920,Vim,261,1609.6410512086272,1517.19628302938
8921,Vim,261,1611.0776270419844,1543.2803877888432
8922,Vim,261,1612.5165946483555,1518.7661305694735
8923,Vim,261,1614.331780972605,1547.736540531216
8924,Slc25a1,208,1617.3804579561845,1466.5489825132545
8925,Vim,261,1618.1237558004325,1424.971178062657
8926,Vim,261,1620.112338763936,1473.0451307073365
8927,Vim,261,1621.9145483660327,1431.3765374536115
8928,Vim,261,1623.0404123233209,1378.5296918803715
8929,Vim,261,1624.673665156571,1422.7254348182892
8930,Vim,261,1628.135809152095,1533.6270148319022
8931,Vim,261,1628.720151908681,1480.3722397891695
8932,Vim,261,1630.4442596806678,1463.817289963422
8933,Vim,261,1630.674482687774,1517.0084130322514
8934,Vim,261,1632.396802683921,1512.0521486072328
8935,Vim,261,1634.3142690940304,1402.9984180142364
8936,Vim,261,1638.0378583057472,1504.6193994807882
8937,Vim,261,1638.2826388165,1515.074879959839
8938,Vim,261,1639.611250942398,1499.3638671907238
8939,Vim,261,1639.59981153147,1439.573466916701
8940,Vim,261,1643.088124609493,1380.618079570202
8941,Vim,261,1648.5241988531398,1506.172146339476
8942,Vim,261,1648.8999518453934,1514.0746454435623
8943,Vim,261,1650.3019656170304,1524.5302873704852
8944,Vim,261,1654.3901440379673,1530.3380564983722
8945,Vim,261,1655.9149199918256,1412.7126065749749
8946,Vim,261,1656.1833356342063,1518.7020569582894
8947,Vim,261,1656.2686213362094,1440.9690216226932
8948,Vim,261,1657.4530438342515,1443.298703884236
8949,Vim,261,1665.2354646678828,1505.5369855613153
8950,Vim,261,1666.5410531448874,1573.569479446356
8951,Vim,261,1667.958989367356,1405.63388963722
8952,negative_control,570,1671.1969904317978,1393.2015175686993
8953,Vim,261,1671.9610997285308,1374.019330290856
8954,Vim,261,1673.470294336842,1510.6028924740422
8955,Vim,261,1674.337785185497,1525.0289582519904
8956,Vim,261,1674.9071953311347,1373.8710835865809
8957,Vim,261,1679.7365876019685,1372.312925266699
8958,Vim,261,1679.9196399087102,1520.794088062862
8959,Vim,261,1683.677839178558,1371.0967716081807
8960,Vim,261,1688.4103398712728,1525.6494239267904
8961,Vim,261,1689.902589625378,1404.5460485587878
8962,Vim,261,1689.9595830467467,1542.0464866906989
8963,Vim,261,1691.0575338383528,1439.18105346118
8964,Tnfrsf1a,233,1691.3759036075055,1550.3747013336354
8965,Vim,261,1691.9295032038676,1409.051741747982
8966,Vim,261,1692.043181665741,1590.809205568726
8967,Vim,261,1693.3060645663752,1476.150098048829
8968,Vim,261,1695.0635911086006,1408.4341336269088
