ref_x,ref_y,ref_z,ref_int,ref_x,ref_y,ref_z,hyb,comp_x,comp_y,comp_z,comp_int,aligned_x,aligned_y,aligned_z,ref_int,ref_ch,comp_ch
1468.9046803672234,811.5921148695661,0.0,7218.673928502125,1468.9046803672234,811.5921148695661,0.0,1,1468.6588946505308,812.0422855837437,0.0,16332.665940901255,1469.5597251472298,811.5463087356243,0.0,7218.673928502125,0,1
415.75492933511305,822.2358116110141,0.0,5505.6217664551405,415.75492933511305,822.2358116110141,0.0,1,414.43511984155657,822.6771403474893,0.0,13668.922247484788,415.3359503382556,822.1811634993699,0.0,5505.6217664551405,0,1
1823.440813513285,832.8617294504203,0.0,9712.849351249844,1823.440813513285,832.8617294504203,0.0,1,1823.3369977208708,833.2636046121485,0.0,18948.19057697539,1824.2378282175698,832.767627764029,0.0,9712.849351249844,0,1
786.1708308781137,842.3966808710688,0.0,4912.070285090563,786.1708308781137,842.3966808710688,0.0,1,785.2905255578036,842.8599223139504,0.0,10906.08208882742,786.1913560545026,842.363945465831,0.0,4912.070285090563,0,1
1172.9174425314734,853.0176446452033,0.0,4718.755533210858,1172.9174425314734,853.0176446452033,0.0,1,1172.2957901660366,853.5277016750568,0.0,10375.369143642223,1173.1966206627355,853.0317248269374,0.0,4718.755533210858,0,1
1850.3114953077904,950.2787138915048,0.0,9426.725241910466,1850.3114953077904,950.2787138915048,0.0,1,1850.0,951.1012488886812,0.0,22991.38709475277,1850.900830496699,950.6052720405618,0.0,9426.725241910466,0,1
1572.1050619843545,974.3806352213168,0.0,7627.10847391574,1572.1050619843545,974.3806352213168,0.0,1,1571.8863040349236,974.9679318100524,0.0,15200.943274037229,1572.7871345316225,974.471954961933,0.0,7627.10847391574,0,1
1450.0,991.5324868920864,0.0,6289.088063134973,1450.0,991.5324868920864,0.0,1,1450.0,991.2592463539752,0.0,10927.98870719167,1450.900830496699,990.7632695058558,0.0,6289.088063134973,0,1
1975.5268339628733,1017.9103926973212,0.0,16965.412664648833,1975.5268339628733,1017.9103926973212,0.0,1,1975.3975494105784,1018.5084326395278,0.0,31911.377732596884,1976.2983799072774,1018.0124557914083,0.0,16965.412664648833,0,1
1553.3460642498385,1083.4744693864386,0.0,7461.779667556497,1553.3460642498385,1083.4744693864386,0.0,1,1553.8600933107812,1084.1830397647325,0.0,14203.86160988037,1554.7609238074801,1083.687062916613,0.0,7461.779667556497,0,1
