ref_x,ref_y,ref_z,hyb,comp_x,comp_y,comp_z,comp_int,aligned_x,aligned_y,aligned_z,ref_int
1497.9253216638388,985.4789003165108,0.0,0,1502.1904696026306,989.2401729862066,0.0,49623.14542032964,1497.4091785701073,985.7806160311358,0.0,15840.278947433962
1975.5268339628733,1017.9103926973212,0.0,0,1980.4570971085504,1021.3791979246728,0.0,22264.80529800277,1975.6758060760271,1017.9196409696019,0.0,16965.412664648833
1441.0900516907132,1028.455786355616,0.0,0,1444.873586930422,1031.8711643505371,0.0,38981.68718709776,1440.0922958978988,1028.4116073954663,0.0,7387.291364371256
1553.3460642498385,1083.4744693864386,0.0,0,1557.4930308754767,1086.7852156879242,0.0,35100.76232663357,1552.7117398429534,1083.3256587328533,0.0,7461.779667556497
1792.3710018563827,1136.320267269645,0.0,0,1796.981112804037,1139.573936575918,0.0,27452.61098158176,1792.1998217715136,1136.114379620847,0.0,8023.774949964364
50.98538240877576,1190.6432385113355,0.0,0,55.52386060627516,1194.1663232660926,0.0,21406.53101324953,50.74256957375177,1190.7067663110217,0.0,7103.4260095482
28.27246406681521,1214.2118648630624,0.0,0,33.24724340705404,1217.9259686248597,0.0,9725.576917104992,28.46595237453066,1214.4664116697888,0.0,17721.85739619669
1897.8628954851224,1245.661515650379,0.0,0,1903.6148518353275,1249.3123694944095,0.0,3962.199588903961,1898.8335608028042,1245.8528125393386,0.0,15423.749842270325
1461.728054737248,1247.0609964548378,0.0,0,1465.4031164535024,1250.4574258166665,0.0,33357.836163435866,1460.6218254209791,1246.9978688615956,0.0,3859.646180740109
1735.1978718118874,1349.4839804388862,0.0,0,1739.9539886949792,1352.8595172032128,0.0,23576.629959234248,1735.172697662456,1349.399960248142,0.0,9937.13912555986
1815.3097975827293,1353.6615681578446,0.0,0,1820.442713921564,1357.3352797913449,0.0,7079.360547500665,1815.6614228890408,1353.875722836274,0.0,22629.74059197036
1744.266016373466,1358.5859703566116,0.0,0,1748.8939984407675,1361.889872689795,0.0,20883.731570316333,1744.1127074082442,1358.4303157347242,0.0,6739.113822588781
309.4654004992336,1359.9257533195344,0.0,0,314.5126210585141,1363.1764263503717,0.0,17466.660510279344,309.73133002599076,1359.7168693953008,0.0,18251.618125141867
417.6533675378124,1368.8960870621047,0.0,0,421.6711392446322,1372.0402063667448,0.0,29208.03316810504,416.8898482121088,1368.580649411674,0.0,5347.043984543807
1770.4818685603077,1376.257126321182,0.0,0,1775.9812410517177,1379.9527428150832,0.0,13099.51023808823,1771.1999500191944,1376.4931858600123,0.0,25588.570286036567
1808.6007366992344,1386.298714959208,0.0,0,1811.9545518198163,1390.566050269903,0.0,3623.5485664455086,1807.173260787293,1387.106493314832,0.0,16324.138308913773
389.6597638235446,1412.363703190214,0.0,0,393.9647247363641,1415.706488986356,0.0,23145.652345817856,389.1834337038407,1412.246932031285,0.0,5030.571877038035
