gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
202,1,α⁶,α⁶,0,α⁴,0,0,α²,0
203,α³,α⁴,α³,0,α⁵,0,0,α²,0
204,α²,α⁵,1,0,1,0,0,α²,0
205,α³,α⁶,α,0,α,0,0,α³,0
206,1,α⁴,α²,0,α³,0,0,α³,0
207,α,1,1,0,α⁵,0,0,α³,0
208,α⁴,α⁵,α⁴,0,α⁶,0,0,α³,0
209,α⁴,1,α²,0,α²,0,0,α⁴,0
210,α,α⁵,α³,0,α⁴,0,0,α⁴,0
211,α²,α,α,0,α⁶,0,0,α⁴,0
212,α⁵,α⁶,α⁵,0,1,0,0,α⁴,0
213,α⁶,1,α⁶,0,α,0,0,α⁵,0
214,α⁵,α,α³,0,α³,0,0,α⁵,0
215,α²,α⁶,α⁴,0,α⁵,0,0,α⁵,0
216,α³,α²,α²,0,1,0,0,α⁵,0
217,α⁴,α³,α³,0,α,0,0,α⁶,0
218,1,α,1,0,α²,0,0,α⁶,0
219,α⁶,α²,α⁴,0,α⁴,0,0,α⁶,0
220,α³,1,α⁵,0,α⁶,0,0,α⁶,0
221,α⁵,α⁴,α⁴,0,α²,0,0,1,0
222,α,α²,α,0,α³,0,0,1,0
223,1,α³,α⁵,0,α⁵,0,0,1,0
224,α⁴,α,α⁶,0,1,0,0,1,0
225,α,α⁵,α²,0,α³,0,0,0,α
226,α³,α³,α⁵,0,α⁴,0,0,0,α
227,α⁶,α⁴,α⁴,0,α⁶,0,0,0,α
228,α⁴,1,α³,0,1,0,0,0,α
229,α⁵,α,α⁴,0,α,0,0,0,α²
230,α²,α⁶,α³,0,α⁴,0,0,0,α²
231,α⁴,α⁴,α⁶,0,α⁵,0,0,0,α²
232,1,α⁵,α⁵,0,1,0,0,0,α²
233,α,α⁶,α⁶,0,α,0,0,0,α³
234,α⁶,α²,α⁵,0,α²,0,0,0,α³
235,α³,1,α⁴,0,α⁵,0,0,0,α³
236,α⁵,α⁵,1,0,α⁶,0,0,0,α³
237,α²,1,1,0,α²,0,0,0,α⁴
238,1,α³,α⁶,0,α³,0,0,0,α⁴
239,α⁴,α,α⁵,0,α⁶,0,0,0,α⁴
240,α⁶,α⁶,α,0,1,0,0,0,α⁴
241,1,1,α²,0,α,0,0,0,α⁵
242,α³,α,α,0,α³,0,0,0,α⁵
243,α,α⁴,1,0,α⁴,0,0,0,α⁵
244,α⁵,α²,α⁶,0,1,0,0,0,α⁵
245,α⁶,α³,1,0,α,0,0,0,α⁶
246,α,α,α³,0,α²,0,0,0,α⁶
247,α⁴,α²,α²,0,α⁴,0,0,0,α⁶
248,α²,α⁵,α,0,α⁵,0,0,0,α⁶
249,1,α⁴,α,0,α²,0,0,0,1
250,α²,α²,α⁴,0,α³,0,0,0,1
