gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
negative_control,7,1,7,0,0,0,0,0,0,3
negative_control,0,3,1,2,0,0,0,0,0,3
negative_control,8,0,2,0,2,0,0,0,0,3
negative_control,8,0,2,0,0,0,3,0,4,0
negative_control,0,0,5,1,4,0,0,0,0,3
negative_control,0,0,5,1,0,2,2,0,0,0
negative_control,3,2,0,0,5,0,0,8,0,0
negative_control,3,2,0,0,0,3,2,0,0,0
negative_control,0,8,0,1,6,0,0,8,0,0
negative_control,5,0,1,0,0,7,0,0,3,0
negative_control,5,0,1,0,9,0,0,8,0,0
negative_control,0,5,4,0,0,0,10,0,0,10
negative_control,0,5,4,0,10,0,0,8,0,0
negative_control,6,10,7,0,0,0,0,8,0,0
negative_control,8,0,4,1,0,0,0,8,0,0
negative_control,7,5,0,6,0,0,0,8,0,0
negative_control,0,7,5,8,0,0,0,8,0,0
negative_control,4,0,0,7,0,1,0,0,0,3
negative_control,0,0,7,2,2,0,0,8,0,0
negative_control,0,4,0,8,0,2,0,0,0,3
negative_control,0,4,0,8,0,0,4,0,8,0
negative_control,2,0,0,0,0,5,0,9,0,1
