nImages,q,n,mhd,w3,w4,w5,w6,Generating Notebook
56,9,7,3,280,1680,8568,22624,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
64,9,8,3,448,3360,22848,90496,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
72,9,9,3,672,6048,51408,271488,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
80,9,10,3,960,10080,102816,678720,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
40,9,5,4,0,40,40,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
48,9,6,4,0,120,240,368,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,9,7,4,0,280,840,2576,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
64,9,8,4,0,560,2240,10304,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
72,9,9,4,0,1008,5040,30912,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
80,9,10,4,0,1680,10080,77280,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
40,9,5,5,0,0,8,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
48,9,6,5,0,0,48,32,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,9,7,5,0,0,168,224,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
64,9,8,5,0,0,448,896,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
72,9,9,5,0,0,1008,2688,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
80,9,10,5,0,0,2016,6720,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
70,11,7,2,3150,31850,190890,636370,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
80,11,8,2,5040,63700,509040,2545480,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
90,11,9,2,7560,114660,1145340,7636440,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
100,11,10,2,10800,191100,2290680,19091100,gen_RS_q11k7_code.jl.ipynb
110,11,11,2,14850,300300,4199580,42000420,gen_extended_codes_cuda.jl.ipynb
120,11,12,2,19800,450450,7199280,84000840,gen_extended_codes_cuda.jl.ipynb
70,11,7,3,350,2800,17430,57820,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
80,11,8,3,560,5600,46480,231280,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
90,11,9,3,840,10080,104580,693840,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
100,11,10,3,1200,16800,209160,1734600,gen_RS_q11k7_code.jl.ipynb
