hyb,rmse
19,24.054583931015255
20,23.19913497473997
21,24.697287597183927
22,22.69078550083918
23,23.423968288684897
24,24.026363374218523
25,22.73873015993841
26,29.289851941995757
27,25.713063104071445
28,23.40611017512631
29,28.709787017573706
30,24.002335159555816
31,28.513693766705575
32,22.725355200667185
33,24.687129064275762
34,26.75012759533055
35,27.96794190446251
36,28.74979601437862
37,27.824720646092473
38,25.305990085889555
39,23.9955862570877
40,27.782988712533687
41,27.71197743598656
42,27.374739869124898
43,24.267251668379156
44,27.156729592704746
45,28.652362774674746
46,35.82159141085086
47,28.09607429014948
48,26.31098896420741
49,24.99915846663405
50,29.05802906144423
51,24.948098441820317
52,25.801561368644194
53,25.805155892183862
54,24.325895861074766
55,25.01918535644022
56,25.641734794696777
57,25.676412722392364
58,31.954166763933156
59,28.514201955167245
60,24.908417819307285
61,30.787430952759102
62,31.00335978462874
63,27.443558647527283
64,32.497815428076585
65,23.80954232146351
66,28.019417596053945
67,28.006832906162998
68,26.344685708264368
69,25.70630707270852
70,24.09984237277878
71,22.824311910440617
72,23.73889030261953
73,22.700354832372977
74,32.399908581368905
75,25.45439185595309
76,23.88847807795536
77,25.268907355093862
78,23.991185109854296
79,24.169554292763767
80,25.182686629852874
0,10.611496747850184
1,12.303916755911192
2,16.827012573140152
3,13.58837685485877
4,19.308523300632867
5,13.684995285230377
6,23.27594206002929
7,21.14780629795991
8,16.512763051968044
9,17.966445448611232
10,18.779276616512508
11,18.92541230378518
12,17.76491666128196
13,17.205613263764114
14,18.337644786538903
15,17.08801005478774
16,18.132495040486404
17,20.44638954601192
18,19.911303988516423
19,18.70965272293147
20,19.40404884212597
21,19.51287089527081
22,20.476524518607008
23,19.937300614687736
24,18.610614301217904
25,19.821028721739165
26,20.002888141447
27,20.012991848443235
28,20.747556652552692
29,20.79153069802962
30,23.167352681672956
31,21.45906317540303
32,23.211713639716283
33,22.126570258400164
34,22.99543729864099
35,22.15885348935797
36,20.691983306433787
37,20.366298823870075
38,23.435906586747215
39,23.524120774706557
40,24.284583194254544
41,22.21046664846528
42,20.628392892401894
43,20.91383940592239
44,22.742107823191876
45,20.76952421348047
46,28.324270151479922
47,24.20847791745709
48,21.58981760864992
49,25.13351989093815
50,24.48274884584648
51,21.03857175880543
52,19.319410994793426
53,24.571995312647037
54,19.24936103198333
55,24.068637205493776
56,20.823724313855465
57,19.625723270006393
58,23.82383816052281
59,22.40537163612679
60,26.528343102239774
61,25.372562998478447
62,27.44869774439395
63,28.13649366272669
64,29.13428462274651
65,25.43640769113172
66,21.708923828985736
67,21.415309730899185
68,26.505999233439717
69,21.808488074006355
70,21.834124604880717
71,23.017487389911935
72,22.630632658863995
73,22.69973805207064
74,22.40205871503757
75,20.440375098557283
76,21.797310756712974
77,19.9571510743101
78,19.942610109915975
79,22.567687949356568
80,19.002676417761197
0,13.281132366296887
1,17.80873866335009
2,23.53172441788339
3,18.60938883675287
4,22.425288340964375
5,22.462921832783284
6,21.60396549761959
7,21.374674255474027
8,20.26792011063025
9,23.3740825989818
10,23.153629088488742
11,20.350494055320944
12,24.503363391226827
13,22.33627484169989
14,25.488407562000635
15,22.66855817894124
16,25.249803415323996
17,24.580148486381614
18,27.102423808419058
19,24.223148062573813
20,29.402965545640633
21,26.610049639939334
22,25.43758782502759
23,28.595111411855303
24,28.993783944420365
25,24.717595686376182
26,31.12859923844164
27,25.543607226050273
28,29.020070219531302
29,27.178368309349576
30,26.79045533515661
31,26.952732228023265
32,28.277868696285495
33,26.98586840043056
34,30.46138105433422
35,28.607476684259225
36,26.4618812699307
37,31.114539971954034
38,28.537906021893715
39,33.15517091509487
40,28.11905479797645
41,27.388180169435206
42,32.70362452151983
43,26.464544638668816
44,27.283129525850544
45,27.515009890382935
46,32.49211368659052
47,30.084266410675504
48,28.495782238168097
49,30.614775308827372
50,31.85983655023797
51,31.17772435846873
52,31.873542521802364
53,29.307830727886778
54,25.805819360547694
55,31.720147997085594
56,29.031647305874422
57,27.069167163285172
58,42.41076017440429
59,31.715988982979656
60,28.264268990532223
