,rmse
"(32, 1)",97.31754549256269
"(32, 2)",65.44599988653526
"(33, 1)",96.19637737380937
"(34, 1)",66.8464017982454
0,65.93353575959424
1,88.51518188447085
2,58.68485039567635
3,51.65993079314461
4,50.42876580792929
5,36.521388772540284
6,46.89930027166778
7,43.05045376262228
8,46.271279893283584
9,38.79686861879072
10,40.26737888312526
11,42.6812255075893
12,28.245868106028556
13,36.86705551419617
14,27.090739252217617
15,24.72294648180139
16,35.978193018042376
17,35.50081322974178
18,38.505387404593044
19,32.405485903385184
20,32.95112898781123
21,34.505899129044955
22,35.20502419880454
23,36.90176729944468
24,30.449902072820894
25,29.168229837721192
26,29.615951193698738
27,29.547280256969312
28,22.38377817762035
29,27.331053757689922
30,29.36090579164406
31,31.01630204962806
32,27.56439975928029
33,30.66135171051941
"(1, 1)",39.2451015719853
"(1, 2)",37.15554894723104
"(2, 1)",28.67676009588474
"(2, 2)",39.44265145589762
"(3, 1)",33.11700185400687
"(3, 2)",39.03367854114204
"(4, 1)",29.36511976473621
"(4, 2)",33.28749412096293
"(5, 1)",39.304242328075084
"(5, 2)",32.01409029412608
"(6, 1)",26.716649835222583
"(6, 2)",24.46330399448059
"(7, 1)",26.46589651534945
"(7, 2)",29.72478062305311
"(8, 1)",88.11548324293473
"(8, 2)",20.23133605785956
"(9, 1)",39.0723650730946
"(9, 2)",36.6144487741617
"(10, 1)",26.050827215084517
"(10, 2)",30.69673414143187
"(11, 1)",25.529127522799985
"(11, 2)",25.876093241457845
"(12, 1)",24.583834874699036
"(12, 2)",26.082275143743033
"(13, 1)",26.779008532237768
"(13, 2)",27.245201735414764
"(14, 1)",44.72336464252874
"(14, 2)",37.47007340893261
"(15, 1)",26.004395969391616
"(15, 2)",34.5578392097999
"(16, 1)",24.052937141173853
"(16, 2)",29.14475566704057
"(17, 1)",30.181024936425366
"(17, 2)",21.792956829321472
"(18, 1)",28.230165692569233
"(18, 2)",22.46370983725086
"(19, 1)",21.250624052338786
"(19, 2)",19.43359921632939
"(20, 1)",25.035600081301084
"(20, 2)",27.752599105987052
"(21, 1)",26.49385501457802
"(21, 2)",29.619849421978792
"(22, 1)",43.31818737294441
"(22, 2)",30.672130637914293
"(23, 1)",24.312083375114995
"(23, 2)",30.100989434048063
"(24, 1)",36.39528435929317
"(24, 2)",26.689157865486425
"(25, 1)",24.956700761942535
"(25, 2)",27.61609743456605
"(26, 1)",39.62697537911412
"(26, 2)",26.721980001545226
"(27, 1)",40.71234428987734
"(27, 2)",28.101134907940498
"(28, 1)",32.343046117780375
"(28, 2)",31.894553882545967
"(29, 1)",21.10329994082358
"(29, 2)",28.272824037182584
"(30, 1)",24.398141648044557
"(30, 2)",29.092290615527375
"(31, 1)",19.965020810318023
"(31, 2)",28.959792994928442
"(32, 1)",22.868393064834525
"(32, 2)",32.65918028592954
"(33, 1)",20.044599295081277
"(34, 1)",21.86858795418371
0,33.75891736869974
1,29.82995765382441
2,31.74218703997776
3,31.11047666699732
4,44.43062776235709
5,32.85430762935541
6,28.872338395044473
7,32.8752118279425
8,45.917547101539135
9,28.850190632138567
10,27.781628726442676
11,31.80811589761549
12,30.200672250214602
13,48.07398069314433
14,25.79887662491693
15,27.127317871322262
16,41.44354603252912
17,20.857541045900707
18,26.96252872129373
19,22.803307958416525
20,34.17359185491666
21,47.87121089851502
22,34.79376375429589
23,44.29708085678956
24,22.79475702391813
25,45.39581116770367
26,47.39729023483499
27,33.56658895234799
28,29.289358725335642
29,24.35128343954775
30,17.18928438149193
31,28.342888340797977
32,28.69501026241941
33,31.04158389862137
"(1, 1)",43.11272552024098
"(1, 2)",39.78912899097533
"(2, 1)",34.97627701869066
"(2, 2)",48.99683919636823
"(3, 1)",32.62418861934142
"(3, 2)",27.450694571961503
"(4, 1)",39.73973090205354
"(4, 2)",36.10761550526695
"(5, 1)",43.849500444728726
"(5, 2)",58.17991877573795
"(6, 1)",36.03812779287605
"(6, 2)",25.55035668232286
"(7, 1)",36.53606623353318
"(7, 2)",52.50818519539789
"(8, 1)",37.67334040421402
"(8, 2)",19.86064780043788
"(9, 1)",37.52010102150861
"(9, 2)",27.224583878456407
"(10, 1)",31.602820688037358
"(10, 2)",23.86480964241137
"(11, 1)",41.06965774873463
"(11, 2)",27.655737451462315
