hyb,rmse
9,21.42623116379564
11,21.308992297453212
12,26.50191519149692
13,20.552400754838118
15,18.6219955557628
16,26.843045091944056
17,26.579049877262975
18,25.725901272550484
19,24.532132315535044
20,22.346086903294
21,22.336737223353676
22,19.34759433960686
26,24.588652444245746
27,28.279971505012856
28,24.708827845119934
29,27.955529135880145
30,26.24030266647008
31,23.46240376370562
32,25.443492271053096
33,19.80352766299091
34,21.772960120989428
35,23.54536970978211
37,20.798920667910412
38,19.132862772194045
40,23.452284803531803
43,31.77089003455831
46,26.249334336932712
47,28.507289387157797
48,34.951584728240434
49,31.755342095450285
55,25.33268149405851
56,23.504526380213804
57,24.167521349795987
58,25.742095534256155
60,25.892397830155435
61,22.59565832367083
62,26.813912399346744
63,24.612837385792982
65,24.536659709994886
67,27.65548364620149
68,26.499168643638125
69,26.618743628609817
70,28.993212353319937
72,25.045270051672972
73,26.594935682632332
74,23.714178247084785
77,25.876859268741644
79,25.478199945831964
80,24.232415978807637
81,23.282292587550597
84,23.065459920965978
85,23.493707624698814
88,25.421514591707563
93,23.551234495749732
94,25.60931635268255
98,28.073502527092796
0,17.94717102526948
1,19.254558024884304
2,20.614118668848917
3,20.64740055704619
4,23.788107100832416
5,20.063645761002295
6,18.90782439654951
7,18.47984604504654
8,19.7696379575164
9,21.727805116889012
10,20.787143972707376
11,22.19887774888441
12,23.53044231955959
13,24.30833234852904
14,21.584640598461508
15,21.991574556189164
16,22.9954801151438
17,22.654763527731454
18,21.919180894684416
19,23.390648992052853
20,23.776855633527095
21,23.74322166558635
22,25.006927134322794
23,23.857464011753184
24,23.9048712343395
25,25.350980683639584
26,25.9344330284728
27,26.302784268754667
28,25.138867770639997
29,26.466842970814806
30,25.43540500869598
31,25.167219177016108
32,27.598768538232253
33,20.50058809595376
34,29.584812299722593
35,27.375756335552715
36,30.49876887377158
37,32.710978102432605
38,25.79125405390478
39,33.35715233419659
40,26.277867700838858
41,33.6500519531549
42,34.101403347533655
43,34.19570214227671
44,28.90652129855333
45,41.45743487004187
46,34.81802369613552
47,37.484710398613345
48,39.42583841292048
49,39.24876621578385
50,26.612032128423056
51,43.44744880500436
52,47.00384450186028
55,33.22471220889364
56,36.54810989034969
57,38.636486171444524
58,35.87863159619942
59,33.92173607615342
60,36.0044247741886
61,36.29945464198094
62,39.23019574204182
63,39.82570729643443
64,35.4862907438386
65,42.85390784061772
66,42.20259853705494
67,40.652981241080376
68,41.04769621726931
69,30.887820556314526
70,37.97331425696601
71,33.64439121141845
73,43.33091349385157
74,45.804943391580075
75,33.26589956019542
76,31.7765465441055
77,38.81766560446856
78,41.03010858438705
79,32.17264015865509
80,38.61732484921236
81,26.280539285417365
82,41.251328455496925
83,42.900779814930914
84,39.82982967232066
85,41.16991712465755
86,38.81547627507234
88,40.7034014101972
89,41.6595477695457
90,35.466678808198395
91,32.39365774459273
92,35.15082964826953
93,35.43706079208353
94,43.42227684825139
95,37.1698426244485
96,39.43199622060889
97,41.14333743979926
98,41.66891283793997
99,33.7568046888994
0,11.774242171748178
1,15.368002056470738
2,15.681499999935209
3,16.957750688185055
4,17.0481148691163
5,16.18709854526388
6,16.628229355173268
7,16.825625790122768
8,16.76481893794879
9,17.887463277660334
10,18.15455474068986
11,17.368622602669095
12,18.895402073307746
13,19.306532076258335
14,18.250903465512135
15,18.24257515549871
16,17.2124821491923
17,17.93320136968621
18,17.284896154354804
19,19.223194971699165
20,18.504634896842944
21,19.21530654390283
22,21.531461102027606
23,22.083103934449205
24,21.832891480719763
25,18.08443763360506
26,21.571646435926407
27,21.892862439931303
28,21.630761646593935
29,22.260321814023456
30,21.822194427320998
31,22.731601606066416
32,24.216330597681893
33,24.669190040869708
34,21.8540296396271
35,26.441372403315807
36,29.920613313021583
37,20.506078907543078
38,20.49152721756151
39,22.877095593380723
40,28.272347133160697
41,26.17741962869267
42,22.94035873524715
43,20.398706253095817
44,30.959975889726394
45,28.222731214888988
46,31.751292831290012
47,31.154622845194076
48,31.721362053799307
49,36.423438626559566
50,31.361928338670296
51,32.516859642870536
52,32.71436463576439
53,33.948667823869414
54,32.299121874186
55,25.415542656517843
56,24.809275465388332
57,24.44093445871316
58,25.62677627887826
59,24.69861655844997
60,25.608010400595095
61,26.063862174631186
62,26.962624511482684
63,27.114269833663826
64,25.696277057990308
65,26.322195362040006
66,26.488180887318308
67,24.616570752095416
68,26.411358954388156
69,25.79743236152762
70,26.45780856702589
71,25.173320028321537
72,26.162539329077
73,26.278195057308114
74,26.27371137802754
75,27.95411676797294
76,27.7099740639319
77,26.694994974352074
78,24.45199733371136
79,26.247595305709535
80,26.652772970450215
81,28.36843812409969
82,25.145977392926664
83,28.85659068279268
84,28.933891002458804
85,28.092519494932738
86,28.824434738311446
87,29.68262536542636
88,29.58489073407141
89,28.76332954445255
90,28.008276255529104
91,27.987992691771854
92,30.03771354883476
93,27.6714941021072
94,29.941381511211453
95,27.01669605219503
96,27.203236277353547
97,29.708997783788366
98,29.245931843288684
99,27.734172544967006
0,16.660010085503284
1,17.576856275581356
2,21.80701530447746
3,19.780065391385822
4,18.669652474088508
5,19.953352683153646
6,21.6399346682164
7,21.851780418884545
8,21.79521846589623
9,23.537081653003327
10,20.330072336754668
11,22.76790056815496
12,22.74138311027032
13,23.50053867456578
14,24.610182165760428
15,20.468204275994943
16,22.807444890641836
17,23.381009803936593
18,23.193345398635937
19,23.90487927225694
20,24.061419975702183
21,26.277436772158463
22,22.03773689780888
23,21.00429425338977
24,24.982988760054894
25,23.92842727082276
26,25.55603304344048
27,27.15201268025509
28,24.69964988712701
29,24.639760532383967
30,27.077741797974355
31,27.343628682600343
32,26.033218569262498
33,27.3864389504018
34,28.7043868265343
35,23.953426248228702
