,Unnamed: 0.1,Unnamed: 0,pos,cell,ch,lvf,zvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,est_fdr,z
39,0,0,6.0,163.0,,5.0,1.0,0.0,0.0,0.0,152.0,3,152.0,0.0,0.0029243762769416,7
40,0,0,6.0,164.0,,5.0,1.0,0.0,0.0,0.0,94.0,3,94.0,0.0,0.0047287786605865,7
41,0,0,6.0,165.0,,5.0,1.0,0.0,0.0,0.0,130.0,13,130.0,0.0,0.0148168398031711,7
42,0,0,6.0,166.0,,5.0,1.0,0.0,0.0,0.0,5.0,0,5.0,0.0,0.0,7
43,0,0,6.0,171.0,,5.0,1.0,0.0,0.0,0.0,188.0,16,188.0,0.0,0.0126100764282307,7
44,0,0,6.0,174.0,,5.0,1.0,0.0,0.0,0.0,68.0,5,68.0,0.0,0.0108947351493905,7
45,0,0,6.0,177.0,,5.0,1.0,0.0,0.0,0.0,170.0,18,170.0,0.0,0.0156884186151223,7
0,0,0,6.0,4.0,,5.0,1.0,2.0,0.0,0.0,30.0,0,30.0,0.0,0.0,0
1,0,0,6.0,5.0,,5.0,1.0,2.0,0.0,0.0,13.0,2,13.0,0.0,0.0227951381587248,0
2,0,0,6.0,6.0,,5.0,1.0,2.0,0.0,0.0,594.0,117,594.0,0.0,0.0291846844607916,0
3,0,0,6.0,8.0,,5.0,1.0,2.0,0.0,0.0,15.0,7,15.0,0.0,0.0691452524147986,0
4,0,0,6.0,9.0,,5.0,1.0,2.0,0.0,0.0,121.0,8,121.0,0.0,0.0097962577211048,0
5,0,0,6.0,10.0,,5.0,1.0,2.0,0.0,0.0,47.0,10,47.0,0.0,0.0315251910705768,0
6,0,0,6.0,11.0,,5.0,1.0,2.0,0.0,0.0,18.0,3,18.0,0.0,0.0246947330052852,0
7,0,0,6.0,12.0,,5.0,1.0,2.0,0.0,0.0,795.0,181,795.0,0.0,0.0337339371619367,0
8,0,0,6.0,13.0,,5.0,1.0,2.0,0.0,0.0,192.0,22,192.0,0.0,0.0169776289411335,0
9,0,0,6.0,14.0,,5.0,1.0,2.0,0.0,0.0,19.0,1,19.0,0.0,0.0077983367385111,0
10,0,0,6.0,15.0,,5.0,1.0,2.0,0.0,0.0,474.0,113,474.0,0.0,0.0353228459442687,0
11,0,0,6.0,16.0,,5.0,1.0,2.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0
12,0,0,6.0,17.0,,5.0,1.0,2.0,0.0,0.0,496.0,156,496.0,0.0,0.0466013509938446,0
13,0,0,6.0,18.0,,5.0,1.0,2.0,0.0,0.0,518.0,186,518.0,0.0,0.053203324389765,0
14,0,0,6.0,20.0,,5.0,1.0,2.0,0.0,0.0,142.0,13,142.0,0.0,0.0135647124958608,0
15,0,0,6.0,21.0,,5.0,1.0,2.0,0.0,0.0,61.0,0,61.0,0.0,0.0,0
16,0,0,6.0,23.0,,5.0,1.0,2.0,0.0,0.0,227.0,57,227.0,0.0,0.0372052805630288,0
17,0,0,6.0,24.0,,5.0,1.0,2.0,0.0,0.0,657.0,186,657.0,0.0,0.0419472177076077,0
18,0,0,6.0,25.0,,5.0,1.0,2.0,0.0,0.0,1.0,1,1.0,0.0,0.1481683980317113,0
19,0,0,6.0,26.0,,5.0,1.0,2.0,0.0,0.0,393.0,132,393.0,0.0,0.0497664848350786,0
20,0,0,6.0,27.0,,5.0,1.0,2.0,0.0,0.0,731.0,205,731.0,0.0,0.0415520131279081,0
21,0,0,6.0,28.0,,5.0,1.0,2.0,0.0,0.0,1070.0,335,1070.0,0.0,0.0463891713463769,0
22,0,0,6.0,29.0,,5.0,1.0,2.0,0.0,0.0,150.0,22,150.0,0.0,0.0217313650446509,0
23,0,0,6.0,30.0,,5.0,1.0,2.0,0.0,0.0,107.0,24,107.0,0.0,0.0332340332033745,0
24,0,0,,,,,,,,,,2,,,0.0,0
25,0,0,6.0,32.0,,5.0,1.0,2.0,0.0,0.0,67.0,22,67.0,0.0,0.0486523098014574,0
26,0,0,6.0,33.0,,5.0,1.0,2.0,0.0,0.0,503.0,107,503.0,0.0,0.0315189236369644,0
27,0,0,6.0,34.0,,5.0,1.0,2.0,0.0,0.0,70.0,8,70.0,0.0,0.0169335312036241,0
